Week	Date	Opponent	Result	Attendance
1	September 2, 1979	Dallas Cowboys	L 22-21	50,855
2	September 9, 1979	at New York Giants	W 27-14	71,370
3	September 16, 1979	Pittsburgh Steelers	L 24-21	50,416
4	September 23, 1979	Washington Redskins	L 17-7	50,680
5	September 30, 1979	at Los Angeles Rams	L 21-0	48,160
6	October 7, 1979	at Houston Oilers	W 24-17	53,043
7	October 14, 1979	Philadelphia Eagles	L 24-20	48,367
8	October 21, 1979	at Dallas Cowboys	L 22-13	64,300
9	October 28, 1979	Cleveland Browns	L 38-20	47,845
10	November 4, 1979	Minnesota Vikings	W 37-7	47,213
11	November 11, 1979	at Washington Redskins	L 30-28	50,868
12	November 18, 1979	at Philadelphia Eagles	L 16-13	70,235
13	November 25, 1979	at Cincinnati Bengals	L 34-28	25,103
14	December 2, 1979	San Francisco 49ers	W 13-10	41,593
15	December 9, 1979	New York Giants	W 29-20	39,802
16	December 16, 1979	at Chicago Bears	L 42-6	42,810
