Song title	Artist	Year Year of songs original release, as listed in Rock Band 3	Genre	Keyboard support	Vocal parts	Nintendo DS setlist
" 20th Century Boy "	T. Rex	1973	Glam Rock	Yes	3	No
" 25 or 6 to 4 "	Chicago	1970	Classic Rock	Yes	3	No
"Antibodies"	Poni Hoax	2008	New Wave	Yes	1	No
" Beast and the Harlot "	Avenged Sevenfold	2005	Metal	No	3	No
" The Beautiful People "	Marilyn Manson	1996	Alternative	Yes	2	No
" Been Caught Stealing "	Jane's Addiction	1990	Alternative	No	3	Yes
" Before I Forget "	Slipknot	2004	Metal	Yes	2	No
" Bohemian Rhapsody "	Queen	1975	Classic Rock	Yes	3	Yes
" Break on Through (To the Other Side) "	The Doors	1967	Classic Rock	Yes	1	Yes
"Caught in a Mosh"	Anthrax	1987	Metal	No	3	No
" Centerfold "	The J. Geils Band	1981	Rock	Yes	3	No
" China Grove "	The Doobie Brothers	1973	Classic Rock	Yes	3	Yes
" Cold as Ice "	Foreigner	1977	Classic Rock	Yes	3	Yes
" Combat Baby "	Metric	2003	Indie Rock	Yes	1	Yes
" The Con "	Tegan and Sara	2007	Indie Rock	Yes	2	No
" Crazy Train "	Ozzy Osbourne	1980	Metal	No	2	Yes
" Crosstown Traffic "	The Jimi Hendrix Experience	1968	Classic Rock	Yes	3	Yes
"Dead End Friends"	Them Crooked Vultures	2009	Rock	Yes	2	No
"Don't Bury Me... I'm Still Not Dead"	Riverboat Gamblers	2006	Punk	No	2	No
" Don't Stand So Close to Me "	The Police	1980	Pop-Rock	Yes	3	No
" Du Hast "	Rammstein	1997	Metal	Yes	3	No
" Everybody Wants to Rule the World "	Tears for Fears	1985	Pop-Rock	Yes	2	No
" False Alarm "	The Bronx	2003	Punk	No	1	No
" Fly Like an Eagle "	Steve Miller Band	1976	Classic Rock	Yes	2	No
" Foolin' "	Def Leppard	1983	Metal	Yes	3	No
" Free Bird "	Lynyrd Skynyrd	1973	Southern Rock	Yes	1	No
" Get Free "	The Vines	2002	Rock	No	3	Yes
" Get Up, Stand Up "	Bob Marley and the Wailers	1973	Reggae/Ska	Yes	3	No
" The Hardest Button to Button "	The White Stripes	2003	Rock	No	1	Yes
" Heart of Glass "	Blondie	1978	New Wave	Yes	2	No
" Here I Go Again "	Whitesnake	1987	Metal	Yes	2	Yes
" Hey Man, Nice Shot "	Filter	1995	Alternative	No	1	No
"Humanoid"	Tokio Hotel	2009	Pop-Rock	Yes	3	Yes
" I Can See for Miles "	The Who	1967	Classic Rock	No	3	No
" I Love Rock N' Roll "	Joan Jett & The Blackhearts	1981	Punk	Yes	2	Yes
" I Need to Know "	Tom Petty and the Heartbreakers	1978	Classic Rock	Yes	2	No
" I Wanna Be Sedated "	Ramones	1978	Punk	No	1	No
" Imagine " Song has no Guitar or Pro Guitar part.	John Lennon	1971	Classic Rock	Yes	1	No
" In a Big Country "	Big Country	1983	New Wave	Yes	3	No
" In the Meantime "	Spacehog	1995	Alternative	Yes	3	No
" Jerry Was a Race Car Driver "	Primus	1991	Alternative	No	1	No
" Just Like Heaven "	The Cure	1987	New Wave	Yes	2	Yes
" Killing Loneliness "	H.I.M.	2005	Alternative	Yes	3	No
" The Killing Moon "	Echo & The Bunnymen	1984	New Wave	Yes	1	No
"King George"	Dover	2001	Rock	No	3	No
"Lasso"	Phoenix	2009	Alternative	No	1	Yes
"Last Dance"	The Raveonettes	2009	Indie Rock	Yes	3	No
" Living in America "	The Sounds	2002	New Wave	Yes	2	No
"Llama"	Phish	1992	Rock	Yes	3	No
" The Look "	Roxette	1988	Pop-Rock	Yes	3	Yes
" Low Rider "	WAR	1975	R&B/Soul/Funk	Yes	1	No
" Me Enamora "	Juanes	2007	Pop-Rock	Yes	3	No
" MidLife Crisis "	Faith No More	1992	Alternative	Yes	3	Yes
" Misery Business "	Paramore	2007	Pop-Rock	No	3	Yes
" Need You Tonight "	INXS	1987	Pop-Rock	Yes	3	Yes
" No One Knows "	Queens of the Stone Age	2002	Rock	No	3	No
" Oh My God "	Ida Maria	2008	Alternative	Yes	3	Yes
" One Armed Scissor "	At the Drive-In	2000	Alternative	No	2	No
"Oye Mi Amor"	Maná	1992	Pop-Rock	Yes	2	No
" Plush "	Stone Temple Pilots	1992	Alternative	No	1	No
"Portions for Foxes"	Rilo Kiley	2004	Indie Rock	Yes	3	Yes
" The Power of Love "	Huey Lewis and the News	1985	Rock	Yes	3	No
" Radar Love "	Golden Earring	1973	Classic Rock	Yes	3	No
" Rainbow in the Dark "	Dio	1983	Metal	Yes	2	No
" Rehab "	Amy Winehouse	2006	R&B/Soul/Funk	Yes	3	No
" Rock Lobster "	The B-52's	1979	New Wave	Yes	3	Yes
" Roundabout "	Yes	1971	Prog	Yes	3	Yes
" Saturday Night's Alright for Fighting "	Elton John	1973	Classic Rock	Yes	1	No
" Sister Christian "	Night Ranger	1983	Rock	Yes	3	Yes
" Smoke on the Water "	Deep Purple	1972	Classic Rock	Yes	2	No
"Something Bigger, Something Brighter"	Pretty Girls Make Graves	2003	Indie Rock	Yes	2	No
" Space Oddity "	David Bowie	1969	Glam	Yes	3	No
"This Bastard's Life"	Swingin' Utters	1998	Punk	Yes	3	No
"Viva la Resistance"	Hypernova	2010	Indie Rock	No	2	No
" Walk of Life "	Dire Straits	1985	Rock	Yes	3	No
" Walking on the Sun "	Smash Mouth	1997	Pop-Rock	Yes	2	Yes
" Werewolves of London "	Warren Zevon	1978	Classic Rock	Yes	1	No
" Whip It "	Devo	1980	New Wave	Yes	2	No
