Place	Player	Country	Score	To Par
1	Johnny Bulla	United States	72-71-68=211	+4
T2	Sam Snead	United States	68-71-73=212	+5
T2	Craig Wood	United States	70-71-71=212	+5
T2	Denny Shute	United States	70-72-70=212	+5
5	Bud Ward (a)	United States	69-73-71=213	+6
T6	Tommy Armour	United States	70-75-69=214	+7
T6	John E. Rogers	United States	75-70-69=214	+7
T6	Olin Dutra	United States	70-74-70=214	+7
7	Horton Smith	United States	72-68-75=215	+8
T10	Byron Nelson	United States	72-73-71=216	+9
T10	Ralph Guldahl	United States	71-73-72=216	+9
T10	Henry Picard	United States	72-72-72=216	+9
