Round	Pick #	Player	Position	College
1	19	Tom Ruud	Linebacker	Nebraska
2	42	Bob Nelson	Linebacker	Nebraska
2	50	Glenn Loft	Defensive back	Drake University
4	102	Tom Donchez	Running back	Penn State
5	115	John McCrumbly	Linebacker	Texas A&M
7	166	Gil Chapman	Running back	Michigan
7	174	Reggie Cherry	Running back	Houston
7	175	Harry Banks	Defensive back	Michigan
8	201	John Hill	Defensive tackle	Duke
10	253	Roland Hooks	Running back	North Carolina State
11	279	Tom Drake	Defensive back	Michigan
12	305	Mark Johnson	Defensive end	Missouri
13	331	Mark Dienhart	Tackle	St. Thomas (MN)
14	357	Robert Evans	Wide receiver	Morris Brown
15	383	Chris Kupec	Quarterback	North Carolina
16	408	Tom Fine	Tight end	Notre Dame
17	435	Jeff Turcotte	Defensive end	Colorado
