No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
74	1	"Dr. Solomon's Traveling Alien Show" (Part 2)	Terry Hughes	Christine Zander	September23,1998	402
75	2	"Power Mad Dick"	Terry Hughes	David Sacks	October7,1998	401
76	3	"Feelin' Albright"	Terry Hughes	Bob Kushell	October14,1998	403
77	4	"Collect Call for Dick"	Terry Hughes	Jim O'Doherty & David M. Israel	October21,1998	404
78	5	"What's Love Got to Do, Got to Do With Dick?"	Terry Hughes	Bill Martin & Mike Schiff	October28,1998	405
79	6	"I Am Dick Pentameter!"	Terry Hughes	David Goetsch & Jason Venokur	November4,1998	406
80	7	"D3: Judgement Day"	Terry Hughes	Michael Glouberman & Andrew Orenstein	November11,1998	407
81	8	"Indecent Dick"	Terry Hughes	Bob Kushell	December9,1998	410
82	9	"Happy New Dick"	Terry Hughes	Christine Zander	December15,1998	409
83	10	"Two-Faced Dick"	Terry Hughes	Gil Goldberg	January5,1999	411
84	11	"Dick Solomon of the Indiana Solomons"	Terry Hughes	Gregg Mettler	January12,1999	408
85	12	"Dick and Taxes"	Terry Hughes	Michael Glouberman & Andrew Orenstein	February2,1999	415
86	13	"Sally Forth"	Terry Hughes	David Sacks	February9,1999	412
87	14	"Paranoid Dick"	Terry Hughes	David M. Israel	February16,1999	414
88	15	"The House That Dick Built"	Terry Hughes	Bill Martin & Mike Schiff	February23,1999	413
89	16	"Superstitious Dick"	Terry Hughes	Gregg Mettler	March2,1999	416
90	17	"Y2dicK"	Terry Hughes	David Goetsch & Jason Venokur	March16,1999	417
91	18	"Dick the Mouth Solomon"	Terry Hughes	Christine Zander & Bob Kushell	April6,1999	418
92	19	"Citizen Solomon"	Terry Hughes	Chris Atwood	April29,1999	420
93	20	"Alien Hunter"	Terry Hughes	Bonnie Turner & Terry Turner	May4,1999	422
94	21	"Dick vs. Strudwick"	Terry Hughes	David M. Israel & Jim O'Doherty	May11,1999	419
95	22	"Near Dick Experience"	Terry Hughes	Jason Venokur & David Goetsch	May18,1999	421
96	23	"Dick's Big Giant Headache (Part 1)"	Terry Hughes	Bill Martin & Mike Schiff	May25,1999	423
