Rank	WS Points	Name	Country	09-10 I/O best	09-10 GP/JGP best	09-10 GP/JGP 2nd	09-10 OI best	09-10 OI 2nd	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd
1	4127	Aliona Savchenko / Robin Szolkowy	Germany	1080	648	400	250	0	840	454	280	175	0
2	3773	Qing Pang / Jian Tong	China	1200	720	400	0	0	613	560	280	0	0
3	3360	Yuko Kavaguti / Alexander Smirnov	Russia	972	525	360	0	0	680	368	280	175	0
4	3212	Dan Zhang / Hao Zhang	China	840	472	360	0	0	756	504	280	0	0
5	3149	Maria Mukhortova / Maxim Trankov	Russia	875	583	400	0	0	551	330	252	158	0
6	2401	Jessica Dubé / Bryce Davison	Canada	709	360	324	0	0	529	252	227	0	0
7	2237	Keauna McLaughlin / Rockne Brubaker	USA	756	324	292	0	0	386	252	227	0	0
8	2065	Narumi Takahashi / Mervin Tran	Japan	644	540	250	0	0	266	223	142	0	0
9	2007	Yue Zhang / Lei Wang	China	496	486	225	0	0	239	378	183	0	0
10	1681	Caydee Denney / Jeremy Barrett	USA	638	292	262	0	0	362	0	0	127	0
11	1639	Mylène Brodeur / John Mattatall	Canada	446	262	236	0	0	326	204	165	0	0
12	1565	Wenjing Sui / Cong Han	China	715	600	250	0	0	0	0	0	0	0
13	1513	Nicole Della Monica / Yannick Kocon	Italy	496	262	0	250	0	347	0	0	158	0
14	1465	Huibo Dong / Yiming Wu	China	402	236	236	0	0	253	204	134	0	0
15	1387	Lubov Iliushechkina / Nodari Maisuradze	Russia	0	262	0	0	0	501	420	204	0	0
16	1363	Rena Inoue / John Baldwin	USA	0	324	292	0	0	312	252	183	0	0
17	1345	Amanda Evora / Mark Ladwig	USA	517	262	213	0	0	0	204	149	0	0
18	1318	Marissa Castelli / Simon Shnapir	USA	325	213	0	0	0	405	248	127	0	0
19	1298	Anaïs Morand / Antoine Dorsaz	Switzerland	402	182	148	164	0	214	104	84	0	0
20	1286	Stacey Kemp / David King	United Kingdom	293	213	0	164	0	237	204	0	175	0
21	1240	Caitlin Yankowskas / John Coughlin	USA	612	213	0	250	0	0	165	0	0	0
22	1183	Tatiana Novik / Mikhail Kuznetsov	Russia	521	437	225	0	0	0	0	0	0	0
23	1145	Anastasia Martiusheva / Alexei Rogonov	Russia	0	213	0	0	0	451	306	175	0	0
24	1123	Ksenia Stolbova / Fedor Klimov	Russia	579	319	225	0	0	0	0	0	0	0
25	1075	Maylin Hausch / Daniel Wende	Germany	362	0	0	250	182	281	0	0	0	0
26	1026	Britney Simpson / Nathan Miller	USA	469	354	203	0	0	0	0	0	0	0
27	921	Kaleigh Hole / Adam Johnson	Canada	277	394	250	0	0	0	0	0	0	0
28	866	Vera Bazarova / Yuri Larionov	Russia	574	292	0	0	0	0	0	0	0	0
29	846	Stefania Berton / Ondřej Hotárek	Italy	418	0	0	225	203	0	0	0	0	0
30	777	Paige Lawrence / Rudi Swiegers	Canada	0	213	0	0	0	365	115	84	0	0
31	769	Ekaterina Kostenko / Roman Talan	Ukraine	162	0	0	203	164	98	0	0	142	0
32	703	Brittany Jones / Kurtis Gaskell	Canada	380	203	120	0	0	0	0	0	0	0
33	598	Kirsten Moore-Towers / Dylan Moscovitch	Canada	362	236	0	0	0	0	0	0	0	0
34	576	Erica Risseeuw / Robert Paxton	United Kingdom	264	0	0	0	0	312	0	0	0	0
35	572	Margaret Purdy / Michael Marinaro	Canada	342	133	97	0	0	0	0	0	0	0
36	538	Gabriela Čermanová / Martin Hanulák	Slovakia	126	0	0	182	0	103	0	0	127	0
37	531	Duo Cheng / Yu Gao	China	0	133	120	0	0	174	104	0	0	0
38	521	Amanda Sunyoto-Yang / Darryll Sulindro-Yang	Chinese Taipei	293	0	0	0	0	228	0	0	0	0
39	469	Alexandra Vasilieva / Yuri Shevchuk	Russia	0	287	182	0	0	0	0	0	0	0
40	456	Felicia Zhang / Taylor Toth	USA	308	148	0	0	0	0	0	0	0	0
41	409	Joanna Sulej / Mateusz Chruściński	Poland	275	0	0	0	0	134	0	0	0	0
42	408	Marika Zanforlin / Federico Degli Esposti	Italy	0	0	0	0	0	166	0	0	127	115
43	407	Ekaterina Sheremetieva / Egor Chudin	Russia	0	0	0	225	182	0	0	0	0	0
44	383	Chloé Katz / Joseph Lynch	USA	0	0	0	225	0	0	0	0	158	0
45	328	Ekaterina Sokolova / Fedor Sokolov	Israel	0	0	0	0	0	79	134	0	115	0
46	321	Juliana Gurdzhi / Alexander Völler	Germany	224	97	0	0	0	0	0	0	0	0
47	299	Brynn Carman / Aj Reiss	USA	202	97	0	0	0	0	0	0	0	0
47	299	Monica Pisotta / Michael Stewart	Canada	0	0	0	0	0	0	165	134	0	0
49	290	Klara Kadlecova / Petr Bidar	Czech Republic	182	108	0	0	0	0	0	0	0	0
