Institution	Nickname	Location	Founded	Type	Enrollment
Alice Lloyd College	Eagles	Pippa Passes, Kentucky	1923	Private	600
Asbury University	Eagles	Wilmore, Kentucky	1890	Private	1,300
Berea College	Mountaineers	Berea, Kentucky	1855	Private	1,514
Brescia University	Bearcats	Owensboro, Kentucky	1950	Private	750
Carlow University 1	Celtics	Pittsburgh, Pennsylvania	1929	Private	2,400
Cincinnati Christian University	Eagles	Cincinnati, Ohio	1924	Private	1,100
Indiana University East	Red Wolves	Richmond, Indiana	1971	Public	2,700
Indiana University Kokomo	Cougars	Kokomo, Indiana	1945	Public	3,719
Indiana University Southeast	Grenadiers	New Albany, Indiana	1941	Public	6,840
Midway College 1	Eagles	Midway, Kentucky	1847	Private	1,800
Point Park University	Pioneers	Pittsburgh, Pennsylvania	1960	Private	3,376
St. Louis College of Pharmacy	Eutectics	St. Louis, Missouri	1864	Private	1,000
