Game	Date	Opponent	Score	Location	Attendance	Record	Points
63	March 1	Calgary Flames	8 - 6	Pengrowth Saddledome	19,289	21-30-12	54
64	March 3	Pittsburgh Penguins	1 - 3	St. Pete Times Forum	19,908	21-31-12	54
65	March 6	St. Louis Blues	3 - 4 OT	St. Pete Times Forum	13,831	21-31-13	55
66	March 7	Carolina Hurricanes	3 - 9	St. Pete Times Forum	15,692	21-32-13	55
67	March 11	Ottawa Senators	2 - 3 OT	Scotiabank Place	19,231	21-32-14	56
68	March 12	Toronto Maple Leafs	4 - 1	Air Canada Centre	19,209	22-32-14	58
69	March 14	Florida Panthers	4 - 3 SO	BankAtlantic Center	17,734	23-32-14	60
70	March 17	Toronto Maple Leafs	3 - 4 SO	St. Pete Times Forum	18,793	23-32-15	61
71	March 19	Washington Capitals	2 - 5	St. Pete Times Forum	16,541	23-33-15	61
72	March 21	Atlanta Thrashers	3 - 4 SO	St. Pete Times Forum	15,391	23-33-16	62
73	March 24	Columbus Blue Jackets	2 - 1 OT	St. Pete Times Forum	14,454	24-33-16	64
74	March 26	Montreal Canadiens	2 - 3 OT	Bell Centre	21,273	24-33-17	65
75	March 27	Washington Capitals	3 - 5	Verizon Center	18,277	24-34-17	65
76	March 29	Ottawa Senators	0 - 3	St. Pete Times Forum	16,427	24-35-17	65
77	March 31	Boston Bruins	1 - 3	TD Banknorth Garden	16,996	24-36-17	65
