Name	Latitude	Longitude	Diameter (km)	Year named
Abe Mango Dorsa	47.0N	212.0E	800.0	1997
Achek Dorsa	37.2S	230.0E	1,000.0	1997
Aditi Dorsa	30.0S	189.0E	1,200.0	1997
Ahsonnutli Dorsa	47.9N	196.5E	1,708.0	1985
Aida-Wedo Dorsa	73.0N	214.0E	450.0	1997
Akewa Dorsa	45.5N	184.0E	900.0	1997
Akuanda Dorsa	63.5N	232.0E	800.0	1997
Alkonost Dorsa	5.0S	341.0E	730.0	1997
Allat Dorsa	60.0N	70.0E	750.0	1985
Amitolane Dorsa	77.0S	335.0E	900.0	1997
Anpao Dorsa	62.0N	207.0E	550.0	1997
Arev Dorsa	52.0S	216.0E	420.0	2000
Asiaq Dorsa	53.0S	55.0E	400.0	1997
Auska Dorsum	59.9N	357.8E	361.0	1985
Aušra- Dorsa	49.4N	25.3E	859.0	1985
Barbale Dorsa	15.0N	143.0E	1,200.0	1997
Ben Dorsa	71.2N	284.1E	628.0	1985
Bezlea Dorsa	30.4N	36.5E	807.0	1985
Biliku Dorsa	47.0S	138.0E	600.0	1997
Boszorkany Dorsa	19.5S	105.0E	550.0	2003
Breksta Dorsa	35.9N	304.0E	700.0	1985
Charykh-Keyok Dorsa	54.5N	285.0E	550.0	1997
Chih Nu Dorsum	73.0S	195.0E	625.0	1994
Dennitsa Dorsa	85.6N	205.9E	872.0	1985
Dodola Dorsa	46.8N	272.6E	607.0	1985
Dudumitsa Dorsa	13.5S	358.0E	980.0	2000
Dyan-Mu Dorsa	78.2N	31.9E	687.0	1985
Dylacha Dorsa	19.0S	76.0E	650.0	1997
Etain Dorsa	45.0S	199.0E	1,400.0	1997
Frigg Dorsa	51.2N	150.6E	896.0	1985
Fulgora Dorsa	78.5 N	342.0 E	463.0	2009
Hemera Dorsa	51.0N	243.4E	587.0	1985
Hera Dorsa	36.4N	29.5E	813.0	1985
Iris Dorsa	52.7N	221.3E	2,050.0	1985
Iyele Dorsa	50.0N	278.7E	595.0	1985
Juno Dorsum	31.0S	95.6E	1,652.0	1982
Kadlu Dorsa	69.5S	188.0E	500.0	1997
Kalm Dorsa	18.0N	309.0E	300.0	1997
Kamari Dorsa	59.2N	55.8E	589.0	1985
Kastiatsi Dorsa	53.0S	245.0E	1,200.0	1997
Khadne Dorsa	14.0S	334.5E	220.0	1997
Kotsmanyako Dorsa	76.0S	242.0E	1,900.0	1997
Kuldurok Dorsa	50.4S	61.0E	1,100.0	1997
Lau-ma Dorsa	64.8N	190.4E	1,517.0	1985
Laverna Dorsa	50.0S	132.0E	1,100.0	1997
Lemkechen Dorsa	18.5N	68.5E	2,000.0	1997
Lukelong Dorsa	73.3N	178.8E	1,566.0	1985
Lumo Dorsa	24.5N	149.0E	500.0	1997
Mardezh-Ava Dorsa	32.4N	68.6E	906.0	1985
Menkerot Dorsa	20.0S	351.5E	770.0	2000
Metelitsa Dorsa	16.0N	31.0E	1,300.0	1997
Naatse-elit Dorsa	66.0S	249.0E	950.0	1997
Nambi Dorsum	72.5S	213.0E	1,125.0	1994
Naran Dorsa	54.0S	238.0E	600.0	1997
Natami Dorsa	71.5S	258.0E	800.0	1997
Nephele Dorsa	39.7N	138.8E	1,937.0	1985
Nichka Dorsa	10.0S	354.0E	550.0	2000
Norwan Dorsa	65.0N	163.0E	450.0	1997
Nuvakchin Dorsa	53.0S	212.0E	2,200.0	1997
Odzerchen Dorsa	72.0S	152.0E	300.0	2000
Ojuz Dorsa	6.0N	37.0E	400.0	1997
Okipeta Dorsa	67.5N	240.0E	1,200.0	1985
Oshumare Dorsa	58.5S	79.0E	550.0	1997
Oya Dorsa	21.5N	157.5E	480.0	2003
