Race	Date	Venue	Winner	Notes
Australian Grand Prix	March 18	Albert Park Grand Prix Circuit	Kimi Räikkönen	World Championship Formula 1
Bahrain Grand Prix	April 15	Bahrain International Circuit	Felipe Massa	World Championship Formula 1
Belgian Grand Prix	September 16	Circuit de Spa-Francorchamps	Kimi Räikkönen	World Championship Formula 1
Brazilian Grand Prix	October 21	Autódromo José Carlos Pace	Kimi Räikkönen	World Championship Formula 1
British Grand Prix	July 8	Silverstone Circuit	Kimi Räikkönen	World Championship Formula 1
Canadian Grand Prix	June 10	Circuit Gilles Villeneuve	Lewis Hamilton	World Championship Formula 1
Chinese Grand Prix	October 7	Shanghai International Circuit	Kimi Räikkönen	World Championship Formula 1
French Grand Prix	July 1	Circuit de Nevers Magny-Cours	Kimi Räikkönen	World Championship Formula 1
Hungarian Grand Prix	August 5	Hungaroring	Lewis Hamilton	World Championship Formula 1
Italian Grand Prix	September 9	Autodromo Nazionale Monza	Fernando Alonso	World Championship Formula 1
Japanese Grand Prix	September 30	Fuji Speedway	Lewis Hamilton	World Championship Formula 1
Malaysian Grand Prix	April 8	Sepang International Circuit	Fernando Alonso	World Championship Formula 1
Monaco Grand Prix	May 27	Circuit de Monaco	Fernando Alonso	World Championship Formula 1
New Zealand Grand Prix	March 13	Teretonga Park	Daniel Gaunt	Toyota Racing Series
Spanish Grand Prix	May 13	Circuit de Catalunya	Felipe Massa	World Championship Formula 1
Turkish Grand Prix	August 26	Istanbul Park	Felipe Massa	World Championship Formula 1
United States Grand Prix	June 17	Indianapolis Motor Speedway	Lewis Hamilton	World Championship Formula 1
