Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 7, 2003	at Carolina Panthers	L 23-24	CBS 1:00pm	72,134
2	September 14, 2003	Buffalo Bills	L 17-38	CBS 1:00pm	58,613
3	September 21, 2003	at Indianapolis Colts	L 13-23	CBS 1:00pm	55,770
4	September 28, 2003	at Houston Texans	L 20-24	CBS 1:00pm	70,041
5	October 5, 2003	San Diego Chargers	W 27–21	CBS 4:00pm	48,954
6	October 12, 2003	Miami Dolphins	L 24–10	CBS 1:00pm	66,437
7	Bye	Bye	Bye	Bye	Bye
8	October 26, 2003	Tennessee Titans	L 17-30	CBS 1:00pm	55,918
9	November 2, 2003	at Baltimore Ravens	L 17-24	CBS 1:00pm	69,486
10	November 9, 2003	Indianapolis Colts	W 28–23	CBS 1:00pm	45,037
11	November 16, 2003	at Tennessee Titans	L 3-10	CBS 1:00pm	68,809
12	November 23, 2003	at New York Jets	L 10–13	CBS 1:00pm	77,614
13	November 30, 2003	Tampa Bay Buccaneers	W 17–10	ESPN 8:30pm	60,543
14	December 7, 2003	Houston Texans	W 27–0	CBS 1:00pm	43,363
15	December 14, 2003	at New England Patriots	L 13-27	CBS 1:00pm	68,436
16	December 21, 2003	New Orleans Saints	W 20–19	FOX 1:00pm	49,207
17	December 28, 2003	at Atlanta Falcons	L 14-21	CBS 1:00pm	70,266
