City	Country	IATA	ICAO	Airport
Tirana	Albania	TIA	LATI	Tirana International Airport
Vienna	Austria	VIE	LOWW	Vienna International Airport
Graz	Austria	GRZ	LOWG	Graz Airport
Salzburg	Austria	SZG	LOWS	Salzburg Airport
Copenhagen	Denmark	CPH	EKCH	Copenhagen Airport
Mulhouse	France	BSL	LFSB	EuroAirport Basel–Mulhouse–Freiburg
Berlin	Germany	SXF	EDDB	Berlin Schönefeld Airport
Berlin	Germany	TXL	EDDT	Berlin Tegel Airport
Bremen	Germany	BRE	EDDW	Bremen Airport
Cologne / Bonn	Germany	CGN	EDDK	Cologne Bonn Airport
Dortmund	Germany	DTM	EDLW	Dortmund Airport
Düsseldorf	Germany	DUS	EDDL	Düsseldorf Airport
Erfurt	Germany	ERF	EDDE	Erfurt–Weimar Airport
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport
Frankfurt	Germany	HHN	EDFH	Frankfurt–Hahn Airport
Hamburg	Germany	HAM	EDDH	Hamburg Airport
Hannover	Germany	HAJ	EDDV	Hannover Airport
Leipzig / Halle	Germany	LEJ	EDDP	Leipzig/Halle Airport
Munich	Germany	MUC	EDDM	Munich Airport
Münster / Osnabrück	Germany	FMO	EDDG	Münster Osnabrück International Airport
Nuremberg	Germany	NUE	EDDN	Nuremberg Airport
Paderborn	Germany	PAD	EDLP	Paderborn Lippstadt Airport
Saarbrücken	Germany	SCN	EDDR	Saarbrücken Airport
Stuttgart	Germany	STR	EDDS	Stuttgart Airport
Erbil	Iraq	EBL	ORER	Erbil International Airport
Luxembourg	Luxembourg	LUX	ELLX	Luxembourg Findel Airport
Casablanca	Morocco	CMN	GMMN	Mohammed V International Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Airport Schiphol
Oslo	Norway	OSL	ENGM	Oslo Airport, Gardermoen
Stockholm	Sweden	ARN	ESSA	Stockholm Arlanda Airport
Zürich	Switzerland	ZRH	LSZH	Zurich Airport
Adana	Turkey	ADA	LTAF	Adana Şakirpaşa Airport
Ankara	Turkey	ESB	LTAC	Esenboğa International Airport
Antalya	Turkey	AYT	LTAI	Antalya Airport HUB
Batman	Turkey	BAL	LTCJ	Batman Airport
Bodrum	Turkey	BJV	LTFE	Milas–Bodrum Airport
Dalaman	Turkey	DLM	LTBS	Dalaman Airport
Diyarbakır	Turkey	DIY	LTCC	Diyarbakır Airport
Erzincan	Turkey	ERC	LTCD	Erzincan Airport
Erzurum	Turkey	ERZ	LTCE	Erzurum Airport
Gaziantep	Turkey	GZT	LTAJ	Oğuzeli Airport
Hatay	Turkey	HTY	LTDA	Hatay Airport
Istanbul	Turkey	SAW	LTFJ	Sabiha Gökçen International Airport
Izmir	Turkey	ADB	LTBJ	Adnan Menderes Airport HUB
Kars	Turkey	KSY	LTCF	Kars Airport
Kayseri	Turkey	ASR	LTAU	Erkilet International Airport
Malatya	Turkey	MLX	LTAT	Malatya Erhaç Airport
Samsun	Turkey	SZF	LTFH	Samsun-Çarşamba Airport
Sivas	Turkey	VAS	LTAR	Sivas Airport
Şanlıurfa	Turkey	SFQ	LTCH	Şanlıurfa Airport
Trabzon	Turkey	TZX	LTCG	Trabzon Airport
Van	Turkey	VAN	LTCI	Van Ferit Melen Airport
