Tournament	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	2R	A	2R	1R	3R	2R	1R	1R	2R	3R	2R	3R	3R	2R	0 / 13	14–13
French Open	A	A	A	A	A	F	2R	SF	1R	2R	1R	1R	1R	1R	1R	2R	1R	0 / 12	12–12
Wimbledon	A	A	A	A	2R	1R	2R	1R	1R	1R	1R	1R	3R	SF	3R	2R	2R	0 / 13	12–12
U.S. Open	A	A	A	A	1R	1R	SF	QF	1R	3R	QF	3R	2R	1R	1R	1R	1R	0 / 13	15–13
Grand Slam SR	0 / 0	0 / 0	0 / 0	0 / 1	0 / 2	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 51	N/A
Annual Win-Loss	0–0	0–0	0–0	1–1	1–2	6–4	6–3	9–4	1–4	3–4	3–4	3–4	5–4	5–4	4–4	4–4	2–4	N/A	53–50
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	NME	NME	NME	A	A	A	A	A	A	A	A	2R	1R	QF	1R	1R	1R	0 / 6	3–6
Miami	NME	NME	NME	A	A	A	3R	A	3R	A	A	QF	2R	3R	3R	2R	1R	0 / 8	8–8
Monte Carlo	NME	NME	NME	A	A	A	SF	A	A	1R	1R	2R	1R	2R	QF	1R	1R	0 / 9	6–9
Rome	NME	NME	NME	A	A	QF	1R	1R	A	1R	QF	1R	F	1R	1R	1R	2R	0 / 11	9–11
Hamburg	NME	NME	NME	A	A	2R	2R	QF	A	1R	2R	F	2R	1R	2R	QF	1R	0 / 11	11–11
Canada	NME	NME	NME	A	A	A	A	A	2R	1R	1R	1R	SF	QF	SF	1R	A	0 / 8	9–8
Cincinnati	NME	NME	NME	A	A	2R	1R	A	1R	A	1R	1R	QF	1R	1R	2R	1R	0 / 10	4–10
Madrid (Stuttgart)	NME	NME	NME	A	A	1R	2R	2R	A	1R	2R	1R	F	2R	2R	QF	A	0 / 10	7–10
Paris	NME	NME	NME	A	A	1R	QF	QF	QF	QF	2R	1R	2R	QF	2R	2R	A	0 / 11	12–11
Masters Series SR	N/A	N/A	N/A	0 / 0	0 / 0	0 / 5	0 / 7	0 / 4	0 / 4	0 / 6	0 / 7	0 / 9	0 / 9	0 / 9	0 / 9	0 / 9	0 / 6	0 / 84	N/A
Annual Win-Loss	N/A	N/A	N/A	0–0	0–0	4–5	5–7	2–4	4–4	2–6	5–7	9–9	14–9	7–9	9–9	7–9	1–6	N/A	69–84
Year End Ranking	824	434	289	180	101	26	20	13	71	35	25	37	12	19	33	27	91	N/A	N/A
