Week	Date	Opponent	Result	Attendance
1	September 12, 1976	at Dallas Cowboys	L 27–7	54,052
2	September 19, 1976	New York Giants	W 20–7	66,005
3	September 27, 1976	Washington Redskins	L 20–17	66,005
4	October 3, 1976	at Atlanta Falcons	W 14–13	45,535
5	October 10, 1976	St. Louis Cardinals	L 33–14	44,933
6	October 17, 1976	at Green Bay Packers	L 28–13	55,398
7	October 24, 1976	Minnesota Vikings	L 31–12	56,233
8	October 31, 1976	at New York Giants	W 10–0	68,690
9	November 7, 1976	St. Louis Cardinals	L 17–14	65,505
10	November 14, 1976	at Cleveland Browns	L 24–3	62,120
11	November 21, 1976	Oakland Raiders	L 26–7	65,990
12	November 28, 1976	at Washington Redskins	L 24–0	54,292
13	December 5, 1976	Dallas Cowboys	L 26–7	55,072
14	December 12, 1976	Seattle Seahawks	W 27–10	37,949
