Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at number 1
13 Cannot handle non-empty timestamp argument!	13	" The Ketchup Song " ‡	Las Ketchup	1	13 Cannot handle non-empty timestamp argument!	1
20 Cannot handle non-empty timestamp argument!	9	" Dilemma " ‡ [B ]	Nelly featuring Kelly Rowland	1	20 Cannot handle non-empty timestamp argument!	2
1 Cannot handle non-empty timestamp argument!	10	" If You're Not the One " ‡	Daniel Bedingfield Category:Articles with hCards	1	1 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	12	" Lose Yourself " ‡	Eminem	1	8 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	6	" The Cheeky Song (Touch My Bum) " ‡	The Cheeky Girls Category:Articles with hCards	2	8 Cannot handle non-empty timestamp argument!	0
15 Cannot handle non-empty timestamp argument!	5	" Sorry Seems to Be the Hardest Word " ‡	Blue featuring Elton John	1	15 Cannot handle non-empty timestamp argument!	1
22 Cannot handle non-empty timestamp argument!	7	" Sound of the Underground " ‡	Girls Aloud	1	22 Cannot handle non-empty timestamp argument!	4
22 Cannot handle non-empty timestamp argument!	4	" Sacred Trust " / " After You're Gone " ‡	One True Voice	2	22 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	4	" You're a Superstar " ‡	Love Inc.	7	22 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	3	" Sk8er Boi "	Avril Lavigne Category:Articles with hCards	8	12 Cannot handle non-empty timestamp argument!	0
12 Cannot handle non-empty timestamp argument!	2	" Danger! High Voltage "	Electric Six	2	12 Cannot handle non-empty timestamp argument!	0
12 Cannot handle non-empty timestamp argument!	1	" The Way (Put Your Hand In My Hand) "	Divine Inspiration	5	12 Cannot handle non-empty timestamp argument!	0
12 Cannot handle non-empty timestamp argument!	1	" Solsbury Hill "	Erasure	10	12 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	5	" Stop Living the Lie "	David Sneddon Category:Articles with hCards	1	19 Cannot handle non-empty timestamp argument!	2
19 Cannot handle non-empty timestamp argument!	5	" Year 3000 "	Busted	2	19 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	2	" True "	Jaimeson featuring Angel Blu	4	19 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	3	" Mundian To Bach Ke "	Panjabi MC	5	19 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	1	" Love Story (vs. Finally) "	Layo & Bushwacka!	8	19 Cannot handle non-empty timestamp argument!	0
19 Cannot handle non-empty timestamp argument!	1	" Just the Way I'm Feeling "	Feeder	10	19 Cannot handle non-empty timestamp argument!	0
26 Cannot handle non-empty timestamp argument!	3	" '03 Bonnie & Clyde "	Jay-Z featuring Beyoncé Knowles	2	26 Cannot handle non-empty timestamp argument!	0
26 Cannot handle non-empty timestamp argument!	1	" Hidden Agenda "	Craig David Category:Articles with hCards	10	26 Cannot handle non-empty timestamp argument!	0
2 Cannot handle non-empty timestamp argument!	6	" All the Things She Said "	t.A.T.u.	1	2 Cannot handle non-empty timestamp argument!	4
2 Cannot handle non-empty timestamp argument!	4	" Stole "	Kelly Rowland Category:Articles with hCards	2	2 Cannot handle non-empty timestamp argument!	0
2 Cannot handle non-empty timestamp argument!	1	" Hey Ma "	Cam'ron featuring Juelz Santana	8	2 Cannot handle non-empty timestamp argument!	0
9 Cannot handle non-empty timestamp argument!	5	" Cry Me a River "	Justin Timberlake	2	9 Cannot handle non-empty timestamp argument!	0
