Player	Played	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Phil Taylor	7	69	24	111	87	28	170	104.33
Gary Anderson	4	24	16	47	32	20	140	99.48
Co Stompé	3	8	15	32	11	4	96	97.12
James Wade	4	22	21	51	30	16	102	97.07
Simon Whitlock	5	38	26	81	57	15	146	96.87
Raymond van Barneveld	6	46	38	95	63	23	161	95.85
Mervyn King	4	20	19	43	40	9	121	94.42
Andy Hamilton	3	12	10	29	11	8	132	93.99
Scott Waites	7	58	57	143	98	24	144	93.92
John Part	3	13	12	34	9	5	102	93.40
Darryl Fitton	3	9	14	31	17	7	55	93.32
Terry Jenkins	6	51	43	142	61	22	160	93.05
Tony O'Shea	5	32	32	67	59	21	106	92.97
Robert Thornton	5	32	34	87	51	12	116	92.51
Colin Lloyd	4	14	20	43	26	9	130	92.09
Denis Ovens	3	9	13	27	19	1	120	91.19
Kevin Painter	5	30	29	59	31	20	148	90.83
Mark Webster	4	19	20	55	22	6	117	89.79
Kirk Shepherd	4	15	21	46	17	5	145	89.46
Adrian Lewis	3	10	14	17	14	10	91	88.73
Brian Woods	3	8	14	36	13	2	111	88.16
Kevin McDine	3	11	14	32	10	2	170	88.11
Darin Young	4	22	20	54	24	8	147	87.87
Vincent van der Voort	3	12	11	27	14	5	74	87.83
Steve Maish	3	12	11	38	16	2	161	86.91
Steve Beaton	4	13	21	44	17	4	121	86.71
Colin Osborne	3	11	13	17	12	7	84	85.90
Anastasia Dobromyslova	3	7	14	33	10	3	121	84.54
Wayne Mardle	3	5	15	22	9	3	55	83.80
Ted Hankey	3	12	14	41	15	3	141	83.03
Gary Mawson	3	7	15	30	13	0	40	82.65
