Date	Tournament	Winning score	Margin of victory	Runner(s)-up
26 Jul 1987	U.S. Women's Open	–3 (72-70-72-71=285)	Playoff	JoAnne Carner , Ayako Okamoto
20 Mar 1988	Circle K LPGA Tucson Open	–10 (64-74-69-72=278)	1 stroke	Robin Walton
5 Jun 1988	Jamie Farr Toledo Classic	–11 (69-70-69-69=277)	3 strokes	Nancy Lopez
18 Jun 1989	Lady Keystone Open	–9 (67-73-67=207)	1 stroke	Pat Bradley
10 Mar 1991	Inamori Classic	–11 (70-68-72-67=277)	4 strokes	Lynn Connelly , Judy Dickinson
16 May 1993	McDonald's Championship	–7 (66-69-73-69=277)	1 stroke	Sherri Steinhauer
20 Mar 1994	Standard Register PING	–15 (69-72-66-70=277)	4 strokes	Elaine Crosby , Beth Daniel
8 May 1994	Sara Lee Classic	–13 (65-70-68=203)	1 stroke	Meg Mallon
15 May 1994	McDonald's LPGA Championship	–5 (70-72-69-68-279)	3 strokes	Alice Ritzman
19 Mar 1995	Standard Register PING	–12 (69-68-70-73=280)	1 stroke	Beth Daniel
23 Apr 1995	Chick-fil-A Charity Championship	–15 (67-67-67=201)	4 strokes	Kelly Robbins
24 Mar 1996	Standard Register PING	–8 (71-73-69-71=284)	1 stroke	Kristal Parker-Manzo
12 May 1996	McDonald's LPGA Championship	E (72-71-70=213)	1 stroke	Julie Piers
4 Aug 1996	du Maurier Classic	–11 (71-70-70-66=277)	2 strokes	Nancy Lopez, Karrie Webb
25 Aug 1996	Star Bank LPGA Classic	–12 (68-66-70=204)	3 strokes	Pat Hurst , Maggie Will
23 Mar 1997	Standard Register PING	–15 (70-69-70-68=277)	Playoff	Kelly Robbins
22 Nov 1998	PageNet Tour Championship	–11 (66-67-75-69=277)	4 strokes	Brandie Burton , Pat Hurst, Karrie Webb
13 Feb 2000	Los Angeles Women's Championship	–5 (67-71-73=211)	3 strokes	Carin Koch , Janice Moodie , Michele Redman
7 May 2000	The Philips Invitational	–5 (68-67-68-72=275)	2 strokes	Dottie Pepper
10 Jun 2001	Wegmans Rochester International	–9 (68-68-69-74=279)	3 strokes	Maria Hjorth , Wendy Ward
