Year	Manufacturer	Start	Finish	Team
1980	Chevrolet	36	8	Cunningham-Kelley
1983	Chevrolet	33	34	Roger Hamby
1984	Chevrolet	40	15	Roger Hamby
1985	Chevrolet	20	16	Sadler
1986	Chevrolet	8	9	Ellington
1987	Oldsmobile	10	30	Hagan
1988	Oldsmobile	12	8	Hagan
1989	Oldsmobile	6	11	Hagan
1990	Oldsmobile	21	19	Hagan
1991	Ford	12	2	Johnson
1992	Ford	1	35	Johnson
1993	Ford	14	9	Stavola
1994	Chevrolet	4	1	Morgan-McClure
1995	Chevrolet	3	1	Morgan-McClure
1996	Chevrolet	3	40	Morgan-McClure
1997	Chevrolet	9	5	Morgan-McClure
1998	Chevrolet	3	22	Team SABCO
1999	Chevrolet	17	32	Team SABCO
2000	Chevrolet	38	24	Team SABCO
2001	Dodge	3	7	Ganassi
2002	Dodge	13	8	Ganassi
2003	Dodge	7	17	Ganassi
2004	Dodge	4	37	Ganassi
2005	Dodge	18	8	Ganassi
2006	Chevrolet	39	34	Ginn
2007	Chevrolet	38	17	Ginn
2008	Chevrolet	DNQ	DNQ	Phoenix
