Name	Nation	Career	Goals	Appearances
David Flavius	Saint Lucia	1999–2006	56	182
Thiago Martins	Brazil	2002–2003	30	33
Phil Karn	United States	1999-2002	23	95
Michael Apple	United States	1999-2002, 2004, 2006	21	96
Said Ali	Jordan	2004-2005	15	19
Gary DePalma	United States	1999-2004	15	145
José Angulo	Colombia	2013-	15	24
Justin Evans	United States	1999,2000,2001,2003, 2008-2009	14	101
Michael Butler	Liberia	1999,2000	14	37
Corey Woolfolk	United States	2003	8	26
Darren Amoo	Ghana	2012-	8	38
Tenywa Bonseu	Uganda	1999–2000, 2009	7	65
