Team	Truck(s)	-	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief	Rounds
Adrian Carriers Racing	Chevrolet Silverado	97	Steve Wallace	Liz Girl Logistics	Gary Adam	Nick Carlson	4
Ben Kennedy Racing	Chevrolet Silverado	96	Ben Kennedy	ModSpace	Robert Johnson	Chris Carrier	2
Bill Elliott Racing	Chevrolet Silverado	94	Chase Elliott	Aaron's Dream Machine	Bill Elliott	Lance McGrew	10
Bill Martel Racing	Chevrolet Silverado	59	Kyle Martel	Patriot Energy Group	William Martel	William Martel	2
Clay Greenfield Motorsports	RAM	68	Clay Greenfield	1-800-Pavement	Clay Greenfield	Danny Gill	6
DDK Motorsports	Toyota Tundra	45	Nate Monteith	Highway 126 Self Storage	K. D. Moore	Wade Day	1
Hattori Racing Enterprises	Toyota Tundra	16	Brett Moffitt	Goodyear of Japan	Shigeaki Hattori	Jeroid Prince	1
Henderson Motorsports	Chevrolet Silverado	75	Caleb Holman	Food Country USA	Charles Henderson	Butch Miller	12
JJC Racing	RAM	0	Chris Lafferty	Driven2Honor.org	Jennifer Jo Cobb	Scott Kazura	10
Jim Rosenblum Racing	Chevrolet Silverado	28	Dominick Casola	FDNY Racing	Jim Rosenblum	Dick Rahilly	2
Ken Schrader Racing	Toyota Tundra	52	Ken Schrader	Federated Auto Parts	Ken Schrader	Donnie Richeson	3
Make Motorsports	Chevrolet Silverado	50	Danny Efland	Advanced Electronic Services	Mark Beaver	Perry Mitchell	8
MB Motorsports	Ford F-150	63	Justin Jennings	Mittler Brothers Machine & Tool	Mike Mittler	Mike Mittler	7
RBR Enterprises	Chevrolet Silverado	92	Scott Riggs	fleetHQ/ Carquest	Ricky Benton	Michael Hester	6
RSS Racing	Chevrolet Silverado	38	J. J. Yeley	n/a	Rod Sieg	Timothy Brown	5
Sharp-Gallagher Racing	Chevrolet Silverado	6	Justin Lofton	Lofton Cattle / J6 Ink	Eddie Sharp	Eddie Troconis	8
ThorSport Racing	Toyota Tundra	13	Brett Moffitt	Aisin	Duke Thorson	Jeriod Prince	10
Turner Scott Motorsports	Chevrolet Silverado	30	Ben Kennedy	ModSpace	Steve Turner	Mike Greci	7
Wauters Motorsports	Chevrolet Silverado	5	Tim George, Jr.	Applebee's	Richie Wauters	Richie Wauters	11
