Tie no	Home team	Score	Away team	Date
1	Blackpool	0–1	Altrincham	17 November 1984
2	Darlington	3–2	Chester City	17 November 1984
3	Burnley	9–0	Penrith	17 November 1984
4	Preston North End	4–3	Bury	17 November 1984
5	Rochdale	1–2	Doncaster Rovers	17 November 1984
6	Weymouth	0–3	Millwall	17 November 1984
7	Gillingham	2–1	Windsor & Eton	17 November 1984
8	Northwich Victoria	3–1	Crewe Alexandra	17 November 1984
9	Macclesfield Town	1–2	Port Vale	17 November 1984
10	Lincoln City	1–1	Telford United	17 November 1984
Replay	Telford United	2–1	Lincoln City	20 November 1984
11	Wrexham	0–2	Wigan Athletic	17 November 1984
12	Stockport County	1–2	Walsall	17 November 1984
13	Bangor City	1–1	Tranmere Rovers	17 November 1984
Replay	Tranmere Rovers	7–0	Bangor City	20 November 1984
14	Brentford	4–0	Bishop's Stortford	17 November 1984
15	Bristol Rovers	2–1	King's Lynn	17 November 1984
16	Northampton Town	2–2	VS Rugby	17 November 1984
Replay	VS Rugby	0–1	Northampton Town	21 November 1984
17	Plymouth Argyle	3–0	Barnet	17 November 1984
18	Bradford City	7–2	Tow Law Town	17 November 1984
19	Hull City	2–1	Bolton Wanderers	17 November 1984
20	Southend United	2–2	Colchester United	17 November 1984
Replay	Colchester United	3–2	Southend United	21 November 1984
21	Exeter City	2–2	Enfield	17 November 1984
Replay	Enfield	3–0	Exeter City	20 November 1984
22	Mansfield Town	2–1	Rotherham United	17 November 1984
23	Halifax Town	2–0	Goole Town	17 November 1984
24	Newport County	1–1	Aldershot	17 November 1984
Replay	Aldershot	4–0	Newport County	20 November 1984
25	Torquay United	2–0	Yeovil Town	17 November 1984
26	York City	2–0	Newcastle Blue Star	17 November 1984
27	Metropolitan Police	0–3	Dartford	17 November 1984
28	Hereford United	3–0	Farnborough Town	17 November 1984
29	Kettering Town	0–0	Bournemouth	17 November 1984
Replay	Bournemouth	3–2	Kettering Town	20 November 1984
30	Barry Town	1–2	Reading	17 November 1984
31	Nuneaton Borough	1–1	Scunthorpe United	17 November 1984
Replay	Scunthorpe United	2–1	Nuneaton Borough	20 November 1984
32	Whitby Town	1–3	Chesterfield	17 November 1984
33	Buckingham Town	0–2	Orient	17 November 1984
34	Burton Albion	2–0	Staines Town	17 November 1984
35	Dagenham	0–0	Swindon Town	19 November 1984
Replay	Swindon Town	1–2	Dagenham	26 November 1984
36	Cambridge United	0–2	Peterborough United	17 November 1984
37	Swansea City	1–1	Bognor Regis Town	17 November 1984
Replay	Bognor Regis Town	3–1	Swansea City	21 November 1984
38	Frickley Athletic	2–1	Stalybridge Celtic	17 November 1984
39	Hartlepool United	2–1	Derby County	17 November 1984
40	Fisher Athletic	0–1	Bristol City	17 November 1984
