Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Vršac	Вршац	town	36040	Serbs	Orthodox Christianity
Gudurica	Гудурица	village	1094	Serbs	Orthodox Christianity
Izbište	Избиште	village	1472	Serbs	Orthodox Christianity
Jablanka	Јабланка (Romanian: Iablanca)	village	251	Romanians	Orthodox Christianity
Kuštilj	Куштиљ (Romanian: Coştei)	village	748	Romanians	Orthodox Christianity
Mali Žam	Мали Жам (Romanian: Jamu Mic)	village	283	Romanians	Orthodox Christianity
Malo Središte	Мало Средиште (Romanian: Srediştea Mică)	village	89	Romanians	Orthodox Christianity
Markovac	Марковац (Romanian: Marcovăţ)	village	255	Romanians	Orthodox Christianity
Mesić	Месић (Romanian: Mesici)	village	198	Romanians	Orthodox Christianity
Orešac	Орешац (Romanian: Oreşaţ)	village	382	Romanians	Orthodox Christianity
Parta	Парта	village	376	Serbs	Orthodox Christianity
Pavliš	Павлиш	village	2195	Serbs	Orthodox Christianity
Potporanj	Потпорањ	village	272	Serbs	Orthodox Christianity
Ritiševo	Ритишево (Romanian: Râtişor)	village	549	Romanians	Orthodox Christianity
Sočica	Сочица (Romanian: Sălciţa)	village	133	Romanians	Orthodox Christianity
Straža	Стража (Romanian: Straja)	village	531	Romanians	Orthodox Christianity
Šušara	Шушара (Hungarian: Fejértelep)	village	333	Hungarians	Catholic Christianity
Uljma	Уљма	village	3269	Serbs	Orthodox Christianity
Vatin	Ватин	village	238	Serbs	Orthodox Christianity
Veliko Središte	Велико Средиште	village	1270	Serbs	Orthodox Christianity
Vlajkovac	Влајковац	village	1148	Serbs	Orthodox Christianity
Vojvodinci	Војводинци (Romanian: Voivodinţ)	village	363	Romanians	Orthodox Christianity
Vršački Ritovi	Вршачки Ритови	village	37	Serbs	Orthodox Christianity
