Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2006	Formula Renault BARC	Alpine Motorsport	3	0	0	0	0	0	26th
2006	Formula Renault 2.0 UK Winter Cup	Alpine Motorsport	4	0	0	0	0	19	19th
2007	Formula Renault BARC	Alpine Motorsport	12	3	3	2	9	131	2nd
2007	Formula Renault 2.0 UK Winter Cup	Alpine Motorsport	4	0	0	0	2	74	6th
2008	Formula Renault 2.0 UK	Alpine Motorsport	20	3	3	1	9	398	4th
2008	Formula Renault 2.0 UK Winter Cup	Alpine Motorsport	4	1	0	0	2	73	3rd
2008	Formula Renault UK Graduate Cup	Alpine Motorsport	1	1	1	1	1	n/a	1st
2009	Formula Renault 2.0 UK	Alpine Motorsport	20	1	1	0	8	418	4th
2010	FIA Formula Two Championship	Silver Lining	18	6	6	4	13	284	1st
2010	Formula Renault 3.5 Series	Junior Lotus Racing	2	0	0	0	0	0	26th
