Month, year	Sunk by U-Boat	Sunk by aircraft	Sunk by warship or raider	Sunk by mines	German submarines lost
39-09 Sep. '39	153879	0	5051	29537	2
39-10 Oct. '39	134807	0	32058	29490	5
39-11 Nov. '39	51589	0	1722	120958	1
39-12 Dec. '39	80881	2949	22506	82712	1
40-01 Jan. '40	111263	23693	0	77116	1
40-02 Feb. '40	169566	853	1761	54740	6
40-03 Mar. '40	62781	8694	0	35051	1
40-04 Apr. '40	32467	13409	5358	19799	5
40-05 May '40	55580	158348	6893	47716	1
40-06 Jun. '40	284113	105193	61857	86087	0
40-07 Jul. '40	195825	70193	80796	33598	2
40-08 Aug. '40	267618	53283	63350	11433	3
40-09 Sep. '40	295335	56328	96288	8269	1
40-10 Oct. '40	352407	8752	32134	32548	1
40-11 Nov. '40	146613	66438	123671	46672	2
40-12 Dec. '40	212590	14890	55728	54331	0
41-01 Jan. '41	126782	78597	80796	17107	0
41-02 Feb. '41	196783	89305	89096	16507	0
41-03 Mar. '41	243020	113314	138906	23585	5
41-04 Apr. '41	249375	323454	91579	24888	2
41-05 May '41	325492	146302	15002	23194	1
41-06 Jun. '41	310143	61414	17759	15326	4
41-07 Jul. '41	94209	9275	5792	8583	0
41-08 Aug. '41	80310	23862	24897	1400	4
41-09 Sep. '41	202820	40812	22910	14948	2
41-10 Oct. '41	156554	35222	3305	19737	2
41-11 Nov. '41	62196	23015	17715	1714	5
41-12 Dec. '41	124070	72850	6661	63853	10
42-01 Jan. '42	327357	57086	3275	10079	3
42-02 Feb. '42	476451	133746	0	7242	2
42-03 Mar. '42	537980	55706	25614	16862	6
42-04 Apr. '42	431664	82924	131188	15002	3
42-05 May. '42	607247	59041	19363	18795	4
42-06 Jun. '42	700235	54769	48474	19936	3
42-07 Jul. '42	476065	74313	54358	8905	11
42-08 Aug. '42	544410	60532	50516	0	9
42-09 Sep. '42	485413	57526	24388	0	10
42-10 Oct. '42	619417	5686	7576	5157	16
42-11 Nov. '42	729160	53868	19178	992	13
42-12 Dec. '42	330816	4853	12312	1618	4
43-01 Jan. '43	203128	25503	7040	18475	6
43-02 Feb. '43	359328	75	4858	34153	19
43-03 Mar. '43	627377	65128	0	884	15
43-04 Apr. '43	327943	3034	1742	11961	15
43-05 May. '43	264853	20942	0	1568	41
43-06 Jun. '43	97753	6083	17655	4334	17
43-07 Jul. '43	242145	106005	7176	72	37
43-08 Aug. '43	86579	14133	0	19	25
43-09 Sep. '43	118841	22905	9977	4396	10
43-10 Oct. '43	97407	22680	0	19774	26
43-11 Nov. '43	66585	62452	8538	6666	19
43-12 Dec. '43	86967	75471	0	6086	8
44-01 Jan. '44	92278	24237	6420	7176	16
44-02 Feb. '44	92923	21616	2085	0	20
44-03 Mar. '44	142944	0	7840	7176	25
44-04 Apr. '44	62149	19755	0	0	21
44-05 May. '44	24424	2873	0	0	24
44-06 Jun. '44	57875	9008	1812	24654	25
44-07 Jul. '44	63351	0	7219	8114	24
44-08 Aug. '44	98729	0	7176	7194	35
44-09 Sep. '44	43368	0	0	1437	22
44-10 Oct. '44	7176	0	0	4492	13
44-11 Nov. '44	29592	7247	1141	0	8
44-12 Dec. '44	58518	35920	0	35612	15
45-01 Jan. '45	56988	7176	2365	16368	14
45-02 Feb. '45	65233	7177	3899	18076	21
45-03 Mar. '45	65077	0	3968	36064	33
45-04 Apr. '45	72439	22822	0	8733	53
45-05 May. '45	11439	7176	0	0	35
