Elector	Nationality	Order and title	Elevated	Elevator
João Pedro Julião	Portuguese	Cardinal-Bishop of Frascati	June 3, 1273	Gregory X
Bertrand de Saint-Martin O.S.B.	French	Cardinal-Bishop of Sabina	June 3, 1273	Gregory X
Simone Paltineri	n Padua	Cardinal-priest of Ss. Silvestro e Martino	December 17, 1261	Urban IV
Anchero Pantaleone	French	Cardinal-priest of S. Prassede	May 1262	Urban IV
Guillaume de Bray	French	Cardinal-priest of S. Marco	May 1262	Urban IV
Riccardo Annibaldi	Roman	Cardinal-deacon of S. Angelo in Pescheria	1238	Gregory IX
Giovanni Gaetano Orsini	Roman	Cardinal-deacon of S. Nicola in Carcere Tulliano	May 28, 1244	Innocent IV
Giacomo Savelli	Roman	Cardinal-deacon of S. Maria in Cosmedin	December 17, 1261	Urban IV
Goffredo da Alatri	Alatri	Cardinal-deacon of S. Giorgio in Velabro	December 17, 1261	Urban IV
Matteo Orsini Rosso	Roman	Cardinal-deacon of S. Maria in Portico	May 1262	Urban IV
