No.	#	Title	Directed by	Written by	U.S. viewers (million)	Rank (week)	Original air date
49	3	" Informed Consent "	Laura Innes	David Foster	13.67	21	September19,2006
50	4	" Lines in the Sand "	Newton Thomas Sigel	David Hoselton	14.52	16	September26,2006
51	5	" Fools for Love "	David Platt	Peter Blake	14.18	18	October31,2006
52	6	" Que Será Será "	Deran Sarafian	Thomas L. Moran	16.11	13	November7,2006
53	7	" Son of Coma Guy "	Dan Attias	Doris Egan	14.60	19	November14,2006
54	8	" Whac-A-Mole "	Daniel Sackheim	Pamela Davis	15.20	11	November21,2006
55	9	" Finding Judas "	Deran Sarafian	Sara Hess	17.30	5	November28,2006
56	10	" Merry Little Christmas "	Tony To	Liz Friedman	11.77	18	December12,2006
57	11	" Words and Deeds "	Daniel Sackheim	Leonard Dick	17.78	5	January9,2007
58	12	" One Day, One Room "	Juan J. Campanella	David Shore	27.34	7	January30,2007
59	13	" Needle in a Haystack "	Peter O'Fallon	David Foster	24.88	4	February6,2007
60	14	" Insensitive "	Deran Sarafian	Matthew V. Lewis	25.99	3	February13,2007
61	15	" Half-Wit "	Katie Jacobs	Lawrence Kaplow	24.40	4	March6,2007
62	16	" Top Secret "	Deran Sarafian	Thomas L. Moran	20.80	4	March27,2007
63	17	" Fetal Position "	Matt Shakman	Russel Friend & Garrett Lerner	20.35	4	April3,2007
64	18	" Airborne "	Elodie Keene	David Hoselton	21.57	4	April10,2007
65	19	" Act Your Age "	Daniel Sackheim	Sara Hess	22.41	3	April17,2007
66	20	" House Training "	Paul McCrane	Doris Egan	20.81	3	April24,2007
67	21	" Family "	David Straiton	Liz Friedman	21.13	4	May1,2007
68	22	" Resignation "	Martha Mitchell	Pamela Davis	21.36	3	May8,2007
69	23	" The Jerk "	Daniel Sackheim	Leonard Dick	21.19	4	May15,2007
