Date	Opponent	Location	Result	Attendance
09/03/1983	Appalachian State	Groves Stadium • Winston-Salem, NC	L 25-27	25,711
09/10/1983	at Virginia Tech	Lane Stadium • Blacksburg, VA	W 13-6	26,300
09/17/1983	Western Carolina	Groves Stadium • Winston-Salem, NC	W 21-0	21,351
09/24/1983	at Richmond	UR Stadium • Richmond, VA	W 31-6	6,923
10/01/1983*	North Carolina State	Groves Stadium • Winston-Salem, NC	L 15-38	28,450
10/08/1983*	at #4 North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	L 10-30	51,711
10/15/1983*	#16 Maryland	Groves Stadium • Winston-Salem, NC	L 33-36	22,300
10/22/1983*	Virginia	Groves Stadium • Winston-Salem, NC	W 38-34	17,500
10/29/1983*	at Clemson	Memorial Stadium • Clemson, SC	L 17-24	65,475
11/05/1983*	Duke	Groves Stadium • Winston-Salem, NC	L 21-31	21,400
11/12/1983*	at Georgia Tech	Grant Field • Atlanta, GA	L 33-49	26,330
