Nat.	Name	Moving to	Type	Transfer window	Transfer fee
Chile	Sebastian Rozental	Free Agent	End of contract	Summer	n/a
FIN	Tero Penttilä	HJK	End of contract	Summer	n/a
NIR	Lee Feeney	Linfield	End of contract	Summer	n/a
FIN	Jani Kauppila	Tervarit	End of contract	Summer	n/a
SCO	Scott Wilson	Dunfermline Athletic	End of contract	Summer	n/a
RUS	Andrei Kanchelskis	Southampton	End of contract	Summer	n/a
AUS	Tony Vidmar	Middlesbrough	End of contract	Summer	n/a
DEN	Jesper Christiansen	VfL Wolfsburg	Loan	Summer	n/a
NOR	Tore André Flo	Sunderland	Transfer	Summer	£6.75m
POL	Dariusz Adamczuk	Free Agent	Transfer	n/a	n/a
SCO	Billy Dodds	Dundee United	Transfer	Winter	Free
TRI	Russell Latapy	Free Agent	Transfer	Winter	n/a
