Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	11–2–1 (1)	TJ Grant	KO (punches)	UFC 160	1	2:07	Las Vegas, Nevada , United States
Win	11–1–1 (1)	Clay Guida	Decision (split)	UFC on FX: Maynard vs. Guida	5	5:00	Atlantic City, New Jersey , United States
Loss	10–1–1 (1)	Frankie Edgar	KO (punches)	UFC 136	4	3:54	Houston, Texas , United States
Draw	10–0–1 (1)	Frankie Edgar	Draw (split)	UFC 125	5	5:00	Las Vegas, Nevada , United States
Win	10–0 (1)	Kenny Florian	Decision (unanimous)	UFC 118	3	5:00	Boston, Massachusetts , United States
Win	9–0 (1)	Nate Diaz	Decision (split)	UFC Fight Night: Maynard vs. Diaz	3	5:00	Fairfax, Virginia , United States
Win	8–0 (1)	Roger Huerta	Decision (split)	UFC Fight Night: Diaz vs. Guillard	3	5:00	Oklahoma City, Oklahoma , United States
Win	7–0 (1)	Jim Miller	Decision (unanimous)	UFC 96	3	5:00	Columbus, Ohio , United States
Win	6–0 (1)	Rich Clementi	Decision (unanimous)	UFC 90	3	5:00	Rosemont, Illinois , United States
Win	5–0 (1)	Frankie Edgar	Decision (unanimous)	UFC Fight Night: Florian vs. Lauzon	3	5:00	Broomfield, Colorado , United States
Win	4–0 (1)	Dennis Siver	Decision (unanimous)	UFC Fight Night: Swick vs Burkman	3	5:00	Las Vegas, Nevada , United States
Win	3–0 (1)	Joe Veres	KO (punch)	UFC Fight Night: Thomas vs Florian	1	0:09	Las Vegas, Nevada , United States
NC	2–0 (1)	Rob Emerson	No Contest (both fighters knocked out)	The Ultimate Fighter 5 Finale	2	0:39	Las Vegas, Nevada , United States
Win	2–0	Brent Weedman	Decision (unanimous)	WEF: Orleans Arena	3	5:00	Las Vegas, Nevada , United States
Win	1–0	Joshua Powell	TKO (punches)	Title Fighting Championships 1	1	2:56	Des Moines, Iowa , United States
