Pick #	MLS Team	Player	Position	Affiliation
1	Real Salt Lake	* Nikolas Besagno	M	Generation Adidas
2	C.D. Chivas USA	* Brad Guzan	GK	University of South Carolina
3	Chicago Fire	* Chad Barrett	F	UCLA
4	San Jose Earthquakes	Danny O'Rourke	M	Indiana University
5	Los Angeles Galaxy	Ugo Ihemelu	D	SMU
6	F.C. Dallas	* Drew Moor	D	Indiana University
7	Colorado Rapids	* Hunter Freeman	D	University of Virginia
8	Los Angeles Galaxy	Troy Roberts	D	University of California
9	New England Revolution	* Michael Parkhurst	D	Wake Forest University
10	Chicago Fire	Jack Stewart	D	University of Notre Dame
11	Kansas City Wizards	Scott Sealy	F	Wake Forest University
12	MetroStars	* Tim Ward	D	Saint Louis University
