Manufacturer	Model	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Nissan	Micra	M5	1240	Petrol	7.4	5.1	5.9	38.2	55.4	47.9	31.8	46.1	39.9	139	C
Nissan	Micra	A4	1240	Petrol	8.2	5.7	6.6	34.4	49.6	42.8	28.6	41.3	35.6	161	D
Nissan	Micra	A4	1240	Petrol	8.2	5.7	6.6	34.4	49.6	42.8	28.6	41.3	35.6	159	D
Nissan	Micra	M5	1386	Petrol	7.9	5.4	6.3	35.8	52.3	44.8	29.8	43.5	37.3	154	D
Nissan	Micra	A4	1386	Petrol	8.7	5.7	6.8	32.5	49.6	41.5	27.1	41.3	34.6	163	D
Nissan	Micra	M5	1386	Petrol	8.2	5.6	6.6	34.4	50.4	42.8	28.6	42.0	35.6	158	D
Nissan	Micra	M5	1598	Petrol	8.7	5.4	6.6	32.5	52.3	42.8	27.1	43.5	35.6	158	D
Nissan	Micra	M5	1598	Petrol	8.7	5.6	6.7	32.5	50.4	42.2	27.1	42.0	35.1	160	D
Nissan	Micra	M5	1598	Petrol	8.6	5.6	6.7	32.8	50.4	42.2	27.3	42.0	35.1	159	D
Nissan	Micra	A4	1598	Petrol	10.1	5.8	7.4	28.0	48.7	38.2	23.3	40.6	31.8	175	E
Nissan	Micra	M5	1461	Diesel	5.3	4.3	4.7	53.3	65.7	60.1	44.4	54.7	50.0	125	C
Nissan	Micra	M5	1461	Diesel	5.2	4.2	4.6	54.3	67.3	61.4	45.2	56.0	51.1	120	B
Nissan	Note	M5	1386	Petrol	7.9	5.3	6.3	35.8	53.3	44.8	29.8	44.4	37.3	150	C
Nissan	Note	M5	1598	Petrol	8.5	5.5	6.6	33.2	51.4	42.8	27.6	42.8	35.6	156	D
Nissan	Note	A4	1598	Petrol	9.1	5.4	6.8	31.0	52.3	41.5	25.8	43.5	34.6	159	D
Nissan	Note	M5	1461	Diesel	5.7	4.5	4.9	49.6	62.8	57.6	41.3	52.3	48.0	129	C
Nissan	Murano	CVT	3498	Petrol	17.2	9.5	12.3	16.4	29.7	23.0	13.7	24.7	19.2	295	G
Nissan	350Z	M6	3498	Petrol	16.8	8.8	11.7	16.8	32.1	24.1	14.0	26.7	20.1	280	G
Nissan	350Z	M6	3498	Petrol	17.0	9.2	12.0	16.6	30.7	23.5	13.8	25.6	19.6	288	G
Nissan	X-Trail	M5	1998	Petrol	11.9	7.4	9.1	23.7	38.2	31.0	19.7	31.8	25.8	217	F
Nissan	X-Trail	M5	2488	Petrol	12.6	7.6	9.4	22.4	37.2	30.1	18.7	31.0	25.1	226	G
Nissan	X-Trail	A4	2488	Petrol	12.7	7.9	9.6	22.2	35.8	29.4	18.5	29.8	24.5	231	G
Nissan	X-Trail	M6	2184	Diesel	9.0	6.7	7.5	31.4	42.2	37.7	26.1	35.1	31.4	201	F
Nissan	X-Trail	M6	2184	Diesel	9.2	6.8	7.6	30.7	41.5	37.2	25.6	34.6	31.0	203	F
Nissan	X Trail 2007	M6	1997	Petrol	11.1	7.3	8.7	25.4	38.7	32.5	21.1	32.2	27.1	208	F
Nissan	X Trail 2007	CVT	2488	Petrol	12.0	7.7	9.3	23.5	36.7	30.4	19.6	30.6	25.3	223	F
Nissan	X Trail 2007	M6	2488	Petrol	13.0	7.7	9.6	21.7	36.7	29.4	18.1	30.6	24.5	230	G
Nissan	X Trail 2007	M6	1995	Diesel	8.7	6.2	7.1	32.5	45.6	39.8	27.1	38.0	33.1	190	F
Nissan	X Trail 2007	A6	1995	Diesel	10.5	6.7	8.1	26.9	42.2	34.9	22.4	35.1	29.1	216	F
Nissan	X Trail 2007	M6	1995	Diesel	9.3	6.3	7.4	30.4	44.8	38.2	25.3	37.3	31.8	198	F
Nissan	X Trail 2007	M6	1995	Diesel	8.4	5.9	6.8	33.6	47.9	41.5	28.0	39.9	34.6	179	E
Nissan	Patrol	5MT	2953	Diesel	14.1	9.2	10.9	20.0	30.7	25.9	16.7	25.6	21.6	288	G
Nissan	Patrol	4AT	2953	Diesel	14.3	10.3	11.8	19.8	27.4	23.9	16.5	22.8	19.9	313	G
Nissan	Pathfinder	M6	2488	Diesel	12.0	8.5	9.8	23.5	33.2	28.8	19.6	27.6	24.0	264	G
Nissan	Pathfinder	A5	2488	Diesel	12.9	8.7	10.2	21.9	32.5	27.7	18.2	27.1	23.1	276	G
Nissan	Qashqai	M5	1598	Petrol	8.4	5.7	6.7	33.6	49.6	42.2	28.0	41.3	35.1	159	D
Nissan	Qashqai	M6	1997	Petrol	10.7	6.6	8.1	26.4	42.8	34.9	22.0	35.6	29.1	192	F
Nissan	Qashqai	CVT	1997	Petrol	10.4	6.4	7.9	27.2	44.1	35.8	22.6	36.7	29.8	189	F
Nissan	Qashqai	M6	1997	Petrol	11.0	6.9	8.4	25.7	40.9	33.6	21.4	34.1	28.0	199	F
Nissan	Qashqai	CVT	1997	Petrol	10.7	6.9	8.3	26.4	40.9	34.0	22.0	34.1	28.3	198	F
Nissan	Qashqai	M6	1461	Diesel	6.0	4.8	5.2	47.1	58.9	54.3	39.2	49.0	45.2	139	C
Nissan	Qashqai	M6	1995	Diesel	8.6	5.5	6.6	32.8	51.4	42.8	27.3	42.8	35.6	174	E
Nissan	Qashqai	M6	1995	Diesel	8.7	5.9	6.9	32.5	47.9	40.9	27.1	39.9	34.1	184	E
Nissan	Qashqai	A6	1995	Diesel	10.1	6.5	7.8	28.0	43.5	36.2	23.3	36.2	30.1	208	F
Nissan	Primastar	M6	1995	Diesel	10.2	7.4	8.4	27.7	39.2	33.6	23.1	32.6	28.0	224	F
Nissan	Primastar	M6	1995	Diesel	9.1	7.4	8.0	31.0	38.2	35.3	25.8	31.8	29.4	213	F
Nissan	Primastar	M6	2464	Diesel	10.5	7.7	8.8	26.9	36.7	32.1	22.4	30.6	26.7	232	G
Perodua	Myvi	M5	1298	Petrol	7.5	4.8	5.8	37.7	58.8	48.7	31.4	49.0	40.6	137	C
Perodua	Myvi	A4	1298	Petrol	8.6	5.2	6.4	32.8	54.3	44.1	27.3	45.2	36.7	151	D
Peugeot	107	M5	998	Petrol	5.5	4.1	4.6	51.3	68.8	61.4	42.7	57.3	51.1	108	B
