Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	11–3	Cyrille Diabaté	Submission (rear naked choke)	UFC 154	1	2:24	Montreal, Quebec , Canada
Loss	11–2	Travis Browne	Submission (arm-triangle choke)	UFC 145	1	2:29	Atlanta, Georgia , United States
Win	11–1	Valentijn Overeem	Submission (punches)	Strikeforce: Overeem vs. Werdum	1	2:08	Dallas, Texas , United States
Win	10–1	Gian Villante	TKO (punches)	Strikeforce: Fedor vs. Silva	1	2:49	East Rutherford, New Jersey , United States
Win	9–1	Bobby Lashley	TKO (stoppage)	Strikeforce: Houston	2	5:00	Houston, Texas , United States
Win	8–1	Jon Alexander	KO (elbows)	USF: Rumble in Wyoming	1	1:13	Casper, Wyoming , United States
Win	7–1	Eric Garcia	TKO (punches)	All Power Combat 1	1	1:02	Arizona , United States
Win	6–1	Steve Sayegh	TKO (punches)	Rage in the Cage 101	1	2:28	Fountain Hills, Arizona , United States
Loss	5–1	Shane Ott	Submission (kimura)	IFL: Connecticut	1	1:09	Uncasville, Connecticut , United States
Win	5–0	John Marsh	TKO (punches)	IFL: Houston	3	2:32	Houston, Texas , United States
Win	4–0	Tony Mendoza	TKO (punches)	WFC: Rumble in the Rockies	1	2:41	Loveland, Colorado , United States
Win	3–0	Johnathan Tsosie	Submission (punches)	Rage in the Cage 82	1	0:43	Tucson, Arizona , United States
Win	2–0	Homer Moore	TKO (punches)	Rage in the Cage 81	3	0:30	Mesa, Arizona , United States
Win	1–0	Johnathan Tsosie	TKO (punches)	Total Fighting Alliance 1	1	0:18	Campo, California , United States
