Team	Car No.	MNZ SPR	MNZ FEA	SPA SPR	SPA FEA	MON FEA	SIL SPR	SIL FEA	HUN SPR	HUN FEA	LMS SPR	LMS FEA	CAT SPR	CAT FEA	Points
Tech 1 Racing	1	3	4	Ret	Ret	4	7	10	2	2	9	15	1	5	175
Tech 1 Racing	2	9	3	Ret	12	1	15	13	18	9	1	6	8	8	175
Ultimate Signature	27	DSQ	Ret	15	Ret	12	4	5	3	1	3	2	5	10	159
Ultimate Signature	28	16	Ret	12	19	17	22	4	Ret	12	4	3	Ret	1	159
P1 Motorsport	21	1	1	Ret	1	2	5	2	1	21	DNS	1	DNS	Ret	142
P1 Motorsport	22	10	11	16	Ret	18	19	20	15	Ret	Ret	Ret	13	13	142
Prema Powerteam	9	Ret	Ret	9	6	9	23	Ret	Ret	3	2	5	Ret	7	137
Prema Powerteam	10	Ret	2	DNS	10	14	3	8	Ret	5	Ret	12	6	Ret	137
Carlin Motorsport	5	5	5	5	3	6	Ret	18	9	15	6	4	2	14	128
Carlin Motorsport	6	Ret	Ret	14	Ret	19	9	1	Ret	8	14	22	3	3	128
International DracoRacing	3	Ret	Ret	1	11	5	6	16	4	4	Ret	16	Ret	4	93
International DracoRacing	4	12	8	Ret	20	Ret	12	7	10	7	10	8	16	Ret	93
Interwetten.com	19	Ret	14	2	4	16	1	3	Ret	16	7	7	Ret	12	79
Interwetten.com	20	4	Ret	8	Ret	21	21	24	8	Ret	Ret	17	12	Ret	79
Red Devil Team Comtec	25	Ret	DSQ	4	2	13	8	9	5	13	5	11	Ret	DNS	72
Red Devil Team Comtec	26	2	10	13	8	Ret	11	14	11	11	12	14	14	17	72
Fortec Motorsport	23	7	7	Ret	16	8	10	12	7	10	Ret	9	7	2	53
Fortec Motorsport	24	15	15	Ret	21	3	Ret	15	12	14	13	19	Ret	6	53
Epsilon Euskadi	7	Ret	12	10	17	Ret	18	19	Ret	Ret	Ret	18	4	9	32
Epsilon Euskadi	8	14	Ret	6	7	20	17	25	17	6	11	10	9	15	32
Pons Racing	14	17	16	7	13	10	14	17	Ret	18	8	13	11	11	29
Pons Racing	15	Ret	Ret	Ret	9	15	2	6	13	Ret	15	24	Ret	Ret	29
KTR	16	13	13	11	5	22	Ret	23	16	20	18	Ret	15	Ret	27
KTR	17	8	6	3	14	7	13	11	Ret	Ret	17	23	Ret	Ret	27
RC Motorsport	11	11	9	Ret	18	Ret	20	22	14	17	16	20	Ret	16	16
RC Motorsport	12	6	Ret	Ret	15	11	16	21	6	19	Ret	21	10	Ret	16
Team	Car No.	MNZ SPR	MNZ FEA	SPA SPR	SPA FEA	MON FEA	SIL SPR	SIL FEA	HUN SPR	HUN FEA	LMS SPR	LMS FEA	CAT SPR	CAT FEA	Points
