Round #	Pick #	Player	Position	College
1	26	Henry Jones	Defensive Back	Illinois
2	54	Phil Hansen	Defensive end	North Dakota State
3	82	Darryl Wren	Defensive back	Pittsburg State
4	138	Shawn Wilbourn	Defensive Back	Long Beach State
5	166	Millard Hamilton	Wide receiver	Clark University
6	194	Amir Rasul	Running back	Florida A&M
8	222	Brad Lamb	Wide receiver	Anderson
9	249	Mark Maddox	Linebacker	Northern Michigan
10	277	Tony DeLorenzo	Guard	New Mexico State
11	305	Dean Kirkland	Guard	Washington
12	333	Stephen Clark	Tight End	Texas
