Opposing Team	Against	Date	Venue	Status
Cambridge University	12	18 October 1978	Grange Road, Cambridge	Tour Match
Cardiff	7	21 October 1978	Cardiff Arms Park , Cardiff	Tour Match
West Wales XV	7	25 October 1978	St Helen's , Swansea	Tour Match
London Counties	12	28 October 1978	Twickenham , London	Tour Match
Munster	12	31 October 1978	Thomond Park , Limerick	Tour Match
IRELAND	6	4 November 1978	Lansdowne Road , Dublin	Test Match
Ulster	7	7 November 1978	Ravenhill , Belfast	Tour Match
WALES	12	11 November 1978	Cardiff Arms Park , Cardiff	Test Match
South and South-West Counties	0	15 November 1978	Memorial Ground , Bristol	Tour Match
Midland Counties	15	18 November 1978	Welford Road , Leicester	Tour Match
Combined Services	6	21 November 1978	Aldershot Military Stadium , Aldershot	Tour Match
ENGLAND	6	25 November 1978	Twickenham , London	Test Match
Monmouthshire	9	29 November 1978	Rodney Parade , Newport	Tour Match
North of England	6	2 December 1978	Birkenhead Park, Birkenhead	Tour Match
North and Midland of Scotland	3	5 December 1978	Linksfield Stadium, Aberdeen	Tour Match
SCOTLAND	9	9 December 1978	Murrayfield , Edinburgh	Test Match
Bridgend	6	13 December 1978	Brewery Field , Bridgend	Tour Match
Barbarians	16	16 December 1978	Cardiff Arms Park , Cardiff	Tour Match
