Region	Date	Label	Format	Catalog
United States	June 17, 1997	Cargo Music	CD	CRGSD-11624
United States	June 17, 1997	Cargo Music / MCA	CD	CRGD-11624
United States	June 17, 1997	Cargo Music / MCA	CD ( Promo )	CRG3P-90054
United States	June 17, 1997	Grilled Cheese	LP	GRL-004
United States	June 17, 1997	MCA	CD	111 624-2
United Kingdom	June 17, 1997	MCA	CD	111 624-2
Europe	June 17, 1997	MCA	CD	111 624-2
Argentina	June 17, 1997	Universal Music Argentina	CD	111 624-2
Australia	June 17, 1997	Rapido	CD	RAP025
United States	January 12, 2010	Mightier Than Sword	LP	MTS.016
United States	January 12, 2010	Geffen / Universal Music Special Markets	LP	B0013811-01
