Outcome	Date	Tournament	Surface	Opponent in the final	Score
Runner-up	27 July 2003	Puerto Ordaz	Hard	Zuzana Cerna	0–6, 0–6
Runner-up	12 September 2004	Santiago	Clay	María José Argeri	4–6, 5–7
Winner	28 May 2006	Monterrey	Hard	Mariana Duque	6–3, 6–3
Winner	4 June 2006	León	Hard	Agustina Lepore	6–3, 6–1
Runner-up	23 July 2006	Campos do Jordão	Hard	María José Argeri	6–4, 2–6, 3–6
Winner	17 September 2006	Tampico	Hard	Daniela Múñoz Gallegos	6–3, 6–0
Winner	24 September 2006	Guadalajara	Clay	Estefania Craciún	6–3, 6–4
Winner	1 October 2006	Ciudad Juárez	Clay	Estefania Craciún	6–1, 0–6, 6–2
Winner	6 April 2008	Civitavecchia	Clay	Polona Hercog	6–2, 6–2
Winner	5 October 2008	Ciudad Juárez	Clay	Jorgelina Cravero	2-2 ret.
