Outcome	Date	Championship	Opponent in the final	Score in the final
Runner-up	23 July 1972	Columbus, Ohio , U.S.	Jimmy Connors	5–7, 3–6, 5–7
Runner-up	30 July 1972	Tanglewood , USA	Bob Hewitt	6–3, 3–6, 1–6
Runner-up	14 August 1972	Montreal, Canada	Ilie Năstase	4–6, 3–6
Winner	8 April 1974	Monte Carlo , Monaco	Ilie Năstase	5–7, 6–3, 6–4
Winner	15 April 1974	Johannesburg , South Africa	John Alexander	6–3, 7–5
Runner-up	28 October 1974	Vienna, Austria	Vitas Gerulaitis	4–6, 6–3, 3–6, 2–6
Runner-up	7 January 1976	Columbus, Ohio, U.S.	Arthur Ashe	6–3, 3–6, 6–7(4)
Runner-up	8 February 1976	Dayton, Ohio , U.S.	Jaime Fillol Sr.	4–6, 7–6, 4–6
Winner	14 September 1977	Laguna Niguel , U.S.	Colin Dibley	2–6, 7–6, 6–4
Winner	27 November 1979	Johannesburg, South Africa	Víctor Pecci	2–6, 6–3, 6–2, 6–3
Runner-up	7 July 1980	Newport, Rhode Island , U.S.	Vijay Amritraj	1–6, 7–5, 3–6
