Player	Tries	Goals	Field Goals	Points
Michael Ennis	7	48	0	124
Denan Kemp	17	0	0	68
Corey Parker	3	27	0	66
Darius Boyd	9	0	0	36
Justin Hodges	8	0	0	32
Sam Thaiday	8	0	0	32
Peter Wallace	4	8	0	28
Joel Moon	5	0	0	20
Reece Robinson	4	0	0	16
David Stagg	4	0	0	16
Karmichael Hunt	3	0	1	13
Darren Lockyer	2	0	1	9
Tonie Carroll	2	0	0	8
Ben Hannant	2	0	0	8
Kaine Manihera	2	0	0	8
Greg Eastwood	2	0	0	8
PJ Marsh	1	0	0	4
Reece Robinson	1	0	0	4
Steve Michaels	1	0	0	4
Shane Perry	1	0	0	4
Nick Kenny	1	0	0	4
Dave Taylor	1	0	0	4
Joel Clinton	1	0	0	4
