Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
5	June 2	Phoenix	W 76-67	Jones (24)	Douglas (9)	Whalen (6)	Mohegan Sun Arena 8,881	3-2
6	June 8	@ Houston	W 88-77	Sales (26)	Dydek (11)	Douglas (6)	Toyota Center 7,339	4-2
7	June 10	Detroit	L 74-79	Jones (20)	Dydek (9)	Jones (5)	Mohegan Sun Arena 7,724	4-3
8	June 13	@ Minnesota	L 73-77 (OT)	Jones (22)	Jones (10)	Douglas (6)	Target Center 9,382	4-4
9	June 15	@ Detroit	L 72-75	Sales (18)	Dydek (8)	Whalen (5)	Palace of Auburn Hills 8,484	4-5
10	June 17	Chicago	L 74-87	Jones (22)	Jones (12)	Douglas (5)	Mohegan Sun Arena 7,614	4-6
11	June 20	New York	L 73-76	Douglas , Sales (17)	Whalen (8)	Whalen (10)	Mohegan Sun Arena 6,154	4-7
12	June 22	@ Indiana	W 78-74	Douglas (30)	Dydek (10)	Whalen (7)	Conseco Fieldhouse 7,240	5-7
13	June 23	San Antonio	L 58-71	Douglas , Whalen (15)	Dydek (8)	Douglas (3)	Mohegan Sun Arena 6,887	5-8
14	June 26	Washington	L 75-91	Douglas (19)	Dydek (10)	Whalen (6)	Mohegan Sun Arena 6,353	5-9
15	June 27	@ Detroit	L 74-77	Jones (16)	Jones (9)	Douglas , Whalen (4)	Palace of Auburn Hills 8,521	5-10
16	June 29	Indiana	W 72-67	Douglas (22)	Dydek (13)	Whalen (7)	Mohegan Sun Arena 7,617	6-10
