Rider	Manufacturer	Laps	Time/Retired	Grid
Casey Stoner	Ducati	27	41:12.244	3
Loris Capirossi	Ducati	27	+6.763	5
Valentino Rossi	Yamaha	27	+10.038	2
Dani Pedrosa	Honda	27	+11.663	1
Alex Barros	Ducati	27	+19.475	7
Randy de Puniet	Kawasaki	27	+27.313	6
John Hopkins	Suzuki	27	+29.243	14
Chris Vermeulen	Suzuki	27	+34.833	16
Colin Edwards	Yamaha	27	+35.073	11
Marco Melandri	Honda	27	+36.971	12
Carlos Checa	Honda	27	+37.721	13
Anthony West	Kawasaki	27	+38.426	10
Shinya Nakano	Honda	27	+47.430	8
Sylvain Guintoli	Yamaha	27	+54.324	9
Toni Elías	Honda	27	+1:10.471	18
Makoto Tamada	Yamaha	27	+1:12.904	15
Kurtis Roberts	KR212V	27	+1:13.020	19
Nicky Hayden	Honda	8	Retirement	4
Chaz Davies	Ducati	8	Retirement	17
