Station	Municipality	County	Former railroad	Closed
Ampere	East Orange	Essex, NJ	Lackawanna	1991
Arlington	Kearney	Hudson, NJ	Erie	2002
Benson Street	Glen Ridge	Essex, NJ	Erie	2002
Fairmount Avenue	Hackensack	Bergen, NJ	Erie	1983
Finderne	Finderne	Somerset, NJ	Jersey Central	2006
Great Notch	Great Notch	Passaic, NJ	Erie	2010
Grove Street	East Orange	Essex, NJ	Lackawanna	1991
Harmon Cove	Secaucus	Hudson, NJ	Erie	2003
Harrison	Harrison	Hudson, NJ	Lackawanna	1984
North Newark	Newark	Essex, NJ	Lackawanna	1984
North Rahway	Rahway	Fairfield, NJ	Pennsylvania	1993
Roseville Avenue	Newark	Essex, NJ	Lackawanna	1984
Rowe Street	Bloomfield Township	Essex, NJ	Erie	2002
