Year	Location	Champion	Second	Third
1996	Altenberg	Diana Sartor	Ramona Rahnis	Monique Riekewald
1997	Winterberg	Steffi Hanzlik	Ramona Rahnis	Diana Sartor
1998	Altenberg	Steffi Hanzlik	Diana Sartor	Ramona Rahnis
1999	Königssee	Steffi Hanzlik	Monique Riekewald	Diana Sartor
2000	Winterberg	Steffi Hanzlik	Monique Riekewald	Melanie Riedl
2001	Königssee	Monique Riekewald	Steffi Hanzlik	Anett Köhler
2002	Altenberg	Diana Sartor	Steffi Hanzlik	Anett Köhler
2003	Winterberg	Steffi Hanzlik	Kerstin Jürgens	Monique Riekewald
2004	Königssee	Kerstin Jürgens	Steffi Jacob	Monique Riekewald
2005	Altenberg	Diana Sartor	Kerstin Jürgens	Monique Riekewald
2006	Winterberg	Kerstin Jürgens	Anja Huber	Kati Klinzing
2007	Königssee	Anja Huber	Kerstin Jürgens	Julia Eichhorn
2008	Altenberg	Anja Huber	Kerstin Jürgens	Marion Trott
2009	Winterberg	Katharina Heinz	Marion Trott	Julia Eichhorn
2010	Altenberg	Kathleen Lorenz	Katharina Heinz	Sophia Griebel
2011	Königssee	Anja Huber	Marion Thees	Sophia Griebel
