Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 3	Minnesota	W 128–86 (OT)	Vince Carter (20)	Dwight Howard (16)	Jameer Nelson (9)	Amway Center 18,846	2–1
4	November 5	New Jersey	W 105–90 (OT)	Dwight Howard (30)	Dwight Howard (16)	Jameer Nelson (6)	Amway Center 18,846	3–1
5	November 6	@ Charlotte	W 91–88 (OT)	Dwight Howard , Rashard Lewis (22)	Dwight Howard (8)	Chris Duhon (9)	Time Warner Cable Arena 18,136	4–1
6	November 8	Atlanta	W 93–89 (OT)	Dwight Howard (27)	Dwight Howard (11)	Chris Duhon (4)	Amway Center 18,846	5–1
7	November 10	Utah	L 94–104 (OT)	Vince Carter (20)	Marcin Gortat (10)	Jameer Nelson (7)	Amway Center 18,846	5–2
8	November 12	Toronto	L 106–110 (OT)	Dwight Howard (25)	Dwight Howard (8)	Jameer Nelson (8)	Amway Center 18,846	5–3
9	November 13	@ New Jersey	W 91–90 (OT)	Dwight Howard (16)	Dwight Howard (10)	Chris Duhon , Jameer Nelson (4)	Prudential Center 15,086	6–3
10	November 15	Memphis	W 89–72 (OT)	Vince Carter (19)	Dwight Howard (14)	Rashard Lewis , Jameer Nelson (4)	Amway Center 18,846	7–3
11	November 18	Phoenix	W 105–89 (OT)	Dwight Howard (20)	Dwight Howard (12)	Jameer Nelson (12)	Amway Center 18,846	8–3
12	November 20	@ Indiana	W 90–86 (OT)	Dwight Howard (25)	Dwight Howard (12)	Jameer Nelson (9)	Conseco Fieldhouse 14,583	9–3
13	November 22	@ San Antonio	L 97–106 (OT)	Dwight Howard (26)	Dwight Howard (18)	Jameer Nelson (5)	AT&T Center 17,627	9–4
14	November 24	Miami	W 104–95 (OT)	Dwight Howard (24)	Dwight Howard (18)	Jameer Nelson (14)	Amway Center 18,936	10–4
15	November 26	Cleveland	W 111–100 (OT)	Dwight Howard (23)	Dwight Howard (11)	Chris Duhon (9)	Amway Center 18,846	11–4
16	November 27	@ Washington	W 100–99 (OT)	Dwight Howard (32)	Dwight Howard (11)	Jameer Nelson (4)	Verizon Center 16,435	12–4
