Series	Main presenter	Co-presenter	Comedian	UK co-presenter
One (2002)	Louise Loughman	N/A	N/A	N/A
Two (2003)	Tara Palmer-Tomkinson	Mark Durden-Smith	N/A	N/A
Three (2004)	Tara Palmer-Tomkinson	Mark Durden-Smith	N/A	N/A
Four (2004)	Mark Durden-Smith	N/A	N/A	N/A
Five (2005)	Tara Palmer-Tomkinson	Matt Brown	N/A	N/A
Six (2006)	Kelly Osbourne	Steve Wilson Jeff Brazier	Brendon Burns	Mark Durden-Smith
Seven (2007)	Emma Willis	Matt Willis	N/A	Mark Durden-Smith
Eight (2008)	Emma Willis	Matt Willis	N/A	Mark Durden-Smith
Nine (2009)	Caroline Flack	Joe Swash	Russell Kane	N/A
Ten (2010)	Caroline Flack	Joe Swash	Russell Kane	N/A
Eleven (2011)	Laura Whitmore	Joe Swash	Russell Kane	N/A
Twelve (2012)	Laura Whitmore	Joe Swash	Rob Beckett	N/A
