Year	Pick	Player	Position	College
1936	1	Jay Berwanger *	RB	Chicago
1937	1	Sam Francis *	FB	Nebraska
1938	2	James McDonald	HB	Ohio State
1939	4	Davey O'Brien	QB	Texas Christian
1940	2	George McAfee	HB	Duke
1941	No pick	No pick	No pick	No pick
1942	3	Pete Kmetovic	HB	Stanford
1943	2	Joe Muha	FB	VMI
1944	5	Steve Van Buren †	HB	Louisiana State
1945	9	John Yonaker	DE	Notre Dame
1946	7	Leo Riggs	HB	Southern California
1947	8	Neill Armstrong	DE	Oklahoma A & M
1948	8	Clyde Scott	HB	Arkansas & Navy
1949	1	Chuck Bednarik †*	C	Pennsylvania
1949	9	Frank Tripucka	QB	Notre Dame
1950	14	Harry "Bud" Grant	DE	Minnesota
1951	7	Ebert Van Buren	FB	Louisiana State
1951	8	Chet Mutryn	FB	Xavier
1952	5	Johnny Bright	FB	Drake
1953	No pick	No pick	No pick	No pick
1954	9	Neil Worden	FB	Notre Dame
1955	9	Dick Bielski	FB	Maryland
1956	4	Bob Pellegrini	LB	Maryland
1957	7	Clarence Peaks	FB	Michigan State
1958	6	Walter Kowalczyk	FB	Michigan State
1959	No pick	No pick	No pick	No pick
1960	9	Ron Burton	RB	Northwestern
1961	14	Art Baker	FB	Syracuse
1962	No pick	No pick	No pick	No pick
1963	4	Ed Budde	T	Michigan State
1964	2	Bob Brown †	T	Nebraska
1965	No pick	No pick	No pick	No pick
1966	4	Randy Beisler	T	Indiana
1967	19	Harry Jones	RB	Arkansas
1968	14	Tim Rossovich	DE	Southern California
1969	3	Leroy Keyes	RB	Purdue
1970	6	Steve Zabel	LB	Oklahoma
1971	5	Richard Harris	DE	Grambling
1972	14	John Reaves	QB	Florida
1973	3	Jerry Sisemore	T	Texas
1973	6	Charle Young	TE	Southern California
1974	No pick	No pick	No pick	No pick
1975	No pick	No pick	No pick	No pick
1976	No pick	No pick	No pick	No pick
1977	No pick	No pick	No pick	No pick
1978	No pick	No pick	No pick	No pick
1979	21	Jerry Robinson	LB	UCLA
1980	23	Roynell Young	DB	Alcorn State
1981	27	Leonard Mitchell	DE	Houston
1982	20	Mike Quick	WR	North Carolina State
1983	8	Michael Haddix	RB	Mississippi State
1984	4	Kenny Jackson	WR	Penn State
1985	9	Kevin Allen	T	Indiana
1986	10	Keith Byars	RB	Ohio State
1987	9	Jerome Brown	DT	Miami
1988	13	Keith Jackson	TE	Oklahoma
1989	No pick	No pick	No pick	No pick
1990	22	Ben Smith	S	Georgia
1991	8	Antone Davis	T	Tennessee
1992	No pick	No pick	No pick	No pick
1993	19	Lester Holmes	G	Jackson State
1993	24	Leonard Renfro	DT	Colorado
1994	14	Bernard Williams	T	Georgia
1995	7	Mike Mamula	DE	Boston College
1996	25	Jermane Mayberry	T	Texas A&M-Kingsville
1997	25	Jon Harris	DE	Virginia
1998	11	Tra Thomas	T	Florida State
1999	2	Donovan McNabb	QB	Syracuse
2000	6	Corey Simon	DT	Florida State
2001	25	Freddie Mitchell	WR	UCLA
2002	26	Lito Sheppard	CB	Florida
2003	15	Jerome McDougle	DE	Miami
2004	16	Shawn Andrews	T	Arkansas
2005	31	Mike Patterson	DT	Southern California
2006	14	Brodrick Bunkley	DT	Florida State
2007	No pick	No pick	No pick	No pick
2008	No pick	No pick	No pick	No pick
2009	19	Jeremy Maclin	WR	Missouri
2010	13	Brandon Graham	DE	Michigan
2011	21	Danny Watkins	OG	Baylor
2012	12	Fletcher Cox	DT	Mississippi State
2013	4	Lane Johnson	OT	Oklahoma
