Date	Visitor	Score	Home	Leading scorer	Attendance	Record	Streak
March 2	Portland Trail Blazers	L 104–110	Golden State Warriors	Jackson : 29	Oracle Arena 19,596	31–29	L1
March 4	Phoenix Suns	L 97–92	Portland Trail Blazers	Roy : 25	Rose Garden 20,595	31–30	L2
March 7	Portland Trail Blazers	W 103–101	Milwaukee Bucks	Aldridge : 29	Bradley Center 15,537	32–30	W1
March 8	Portland Trail Blazers	W 120–114 OT	New York Knicks	Robinson : 45	Madison Square Garden 19,763	33–30	W2
March 10	Portland Trail Blazers	L 80–88	Cleveland Cavaliers	Aldridge : 25	Quicken Loans Arena 20,213	33–31	L1
March 11	Portland Trail Blazers	W 103–96	Minnesota Timberwolves	Roy : 27	Target Center 13,433	34–31	W1
March 13	Portland Trail Blazers	L 85–96	Sacramento Kings	Artest : 22	ARCO Arena 13,333	34–32	L1
March 15	Minnesota Timberwolves	W 96–107	Portland Trail Blazers	Aldridge : 26	Rose Garden 20,079	35–32	W1
March 18	Phoenix Suns	L 111–98	Portland Trail Blazers	Aldridge : 31	Rose Garden 20,580	35–33	L1
March 21	Los Angeles Clippers	W 102–107	Portland Trail Blazers	Mobley : 24	Rose Garden 19,980	36–33	W1
March 22	Portland Trail Blazers	W 83–72	Los Angeles Clippers	Roy : 23	Staples Center 18,248	37–33	W2
March 24	Portland Trail Blazers	L 84–97	Seattle SuperSonics	Durant : 23	KeyArena 11,292	37–34	L1
March 25	Washington Wizards	W 82–102	Portland Trail Blazers	Webster : 23	Rose Garden 19,980	38–34	W1
March 27	Portland Trail Blazers	L 95–111	Golden State Warriors	Jackson : 24	Oracle Arena 19,732	38–35	L1
March 29	Charlotte Bobcats	L 93–85	Portland Trail Blazers	Outlaw : 26	Rose Garden 19,980	38–36	L2
