Place	Player	Country	Score	To par
1	Tom Weiskopf	United States	69-72-66=207	–9
2	Jack Nicklaus	United States	68-67-73=208	–8
3	Johnny Miller	United States	75-71-65=211	–5
4	Tom Watson	United States	70-70-72=212	–4
T5	Billy Casper	United States	70-70-73=213	–3
T5	Bobby Nichols	United States	67-74-72=213	–3
T7	Buddy Allin	United States	73-69-73=215	–1
T7	Hubert Green	United States	74-71-70=215	–1
T7	Allen Miller	United States	68-75-72=215	–1
T7	Arnold Palmer	United States	69-71-75=215	–1
T7	Lee Trevino	United States	71-70-74=215	–1
