Exit Date	Pos.	Player	To club	Transfer fee
1 July 2008	DF	Garry Breen	Hereford United	Free
1 July 2008	DF	Michael Daly	Released	Released
1 July 2008	GK	Andrea Giombetti	Released	Released
1 July 2008	MF	Ashley Grimes	Millwall	Free
1 July 2008	FW	Christian Mouritsen	Released	Released
30 July 2008	DF	Matthew Mills	Doncaster Rovers	£300,000
16 Oct. 2008	FW	Teerasil Dangda	Released	Released
16 Oct. 2008	DF	Kiatprawut Saiwaeo	Released	Released
16 Oct. 2008	DF	Suree Sukha	Released	Released
02 Jan. 2009	DF	Sam Williamson	Wrexham	Free
