Code	Municipality	County	Population	Total area	Density (per km 2 land)
0114	Upplands Väsby Municipality	Stockholm County	38914	84.28km2 (32.54)	516.31
0115	Vallentuna Municipality	Stockholm County	28954	371.19km 2 (143.32sqmi)	80.41
0117	Österåker Municipality	Stockholm County	38720	322.25km 2 (124.42sqmi)	124.60
0120	Värmdö Municipality	Stockholm County	37376	451.31km 2 (174.25sqmi)	84.38
0123	Järfälla Municipality	Stockholm County	64355	63.39km 2 (24.48sqmi)	1190.66
0125	Ekerö Municipality	Stockholm County	24779	386.58km 2 (149.26sqmi)	114.51
0126	Huddinge Municipality	Stockholm County	94209	141.48km 2 (54.63sqmi)	717.29
0127	Botkyrka Municipality	Stockholm County	80055	210.26km 2 (81.18sqmi)	410.90
0128	Salem Municipality	Stockholm County	15177	71.53km 2 (27.62sqmi)	279.40
0136	Haninge Municipality	Stockholm County	74968	464.02km 2 (179.16sqmi)	163.86
0138	Tyresö Municipality	Stockholm County	42332	72.87km 2 (28.14sqmi)	609.31
0139	Upplands-Bro Municipality	Stockholm County	22682	328.48km 2 (126.83sqmi)	95.66
0140	Nykvarn Municipality	Stockholm County	9035	178.16km 2 (68.79sqmi)	58.88
0160	Täby Municipality	Stockholm County	62266	66.03km 2 (25.49sqmi)	1027.15
0162	Danderyd Municipality	Stockholm County	30851	26.66km 2 (10.29sqmi)	1163.75
0163	Sollentuna Municipality	Stockholm County	62097	56.16km 2 (21.68sqmi)	1172.91
0180	Stockholm Municipality	Stockholm County	810120	209.12km 2 (80.74sqmi)	4307.84
0181	Södertälje Municipality	Stockholm County	84753	611.45km 2 (236.08sqmi)	161.26
0182	Nacka Municipality	Stockholm County	85661	99.99km 2 (38.61sqmi)	896.93
0183	Sundbyberg Municipality	Stockholm County	36079	8.82km 2 (3.41sqmi)	4144.44
0184	Solna Municipality	Stockholm County	65289	21.12km 2 (8.15sqmi)	3368.09
0186	Lidingö Municipality	Stockholm County	43111	30.77km 2 (11.88sqmi)	1413.94
0187	Vaxholm Municipality	Stockholm County	10747	58.76km 2 (22.69sqmi)	185.10
0188	Norrtälje Municipality	Stockholm County	55528	2118.41km 2 (817.92sqmi)	27.62
0191	Sigtuna Municipality	Stockholm County	38372	351.64km 2 (135.77sqmi)	117.03
0192	Nynäshamn Municipality	Stockholm County	25499	364.05km 2 (140.56sqmi)	71.38
0305	Håbo Municipality	Uppsala County	19225	186.18km 2 (71.88sqmi)	134.10
0319	Älvkarleby Municipality	Uppsala County	9064	235.22km 2 (90.82sqmi)	42.48
0330	Knivsta Municipality	Uppsala County	14259	296.94km 2 (114.65sqmi)	50.30
0331	Heby Municipality	Uppsala County	13407	1231.69km 2 (475.56sqmi)	11.44
0360	Tierp Municipality	Uppsala County	20153	1610.07km 2 (621.65sqmi)	13.00
0380	Uppsala Municipality	Uppsala County	190668	2246.09km 2 (867.22sqmi)	87.10
0381	Enköping Municipality	Uppsala County	38978	1330.19km 2 (513.59sqmi)	32.92
0382	Östhammar Municipality	Uppsala County	21434	1502.55km 2 (580.14sqmi)	14.57
0428	Vingåker Municipality	Södermanland County	9000	441.86km 2 (170.6sqmi)	24.16
0461	Gnesta Municipality	Södermanland County	10179	540.40km 2 (208.65sqmi)	22.00
0480	Nyköping Municipality	Södermanland County	50973	1562.75km 2 (603.38sqmi)	35.70
0481	Oxelösund Municipality	Södermanland County	11170	35.75km 2 (13.8sqmi)	314.03
0482	Flen Municipality	Södermanland County	16133	830.59km 2 (320.69sqmi)	22.34
0483	Katrineholm Municipality	Södermanland County	32207	1195.87km 2 (461.73sqmi)	31.41
0484	Eskilstuna Municipality	Södermanland County	94785	1257.53km 2 (485.54sqmi)	85.88
0486	Strängnäs Municipality	Södermanland County	31715	979.97km 2 (378.37sqmi)	42.77
0488	Trosa Municipality	Södermanland County	11362	218.67km 2 (84.43sqmi)	53.85
0509	Ödeshög Municipality	Östergötland County	5350	672.10km 2 (259.5sqmi)	12.40
0512	Ydre Municipality	Östergötland County	3726	782.65km 2 (302.18sqmi)	5.49
0513	Kinda Municipality	Östergötland County	9885	1308.74km 2 (505.31sqmi)	8.71
0560	Boxholm Municipality	Östergötland County	5260	606.97km 2 (234.35sqmi)	9.96
0561	Åtvidaberg Municipality	Östergötland County	11543	784.32km 2 (302.83sqmi)	16.72
0562	Finspång Municipality	Östergötland County	20589	1221.74km 2 (471.72sqmi)	19.39
0563	Valdemarsvik Municipality	Östergötland County	7852	781.69km 2 (301.81sqmi)	10.63
0580	Linköping Municipality	Östergötland County	141863	1575.91km 2 (608.46sqmi)	98.80
0581	Norrköping Municipality	Östergötland County	128060	1612.03km 2 (622.41sqmi)	85.17
0582	Söderköping Municipality	Östergötland County	13959	691.24km 2 (266.89sqmi)	20.59
0583	Motala Municipality	Östergötland County	41953	1273.52km 2 (491.71sqmi)	42.45
0584	Vadstena Municipality	Östergötland County	7475	415.20km 2 (160.31sqmi)	40.96
0586	Mjölby Municipality	Östergötland County	25654	559.94km 2 (216.19sqmi)	46.73
0604	Aneby Municipality	Jönköping County	6523	556.92km 2 (215.03sqmi)	12.53
0617	Gnosjö Municipality	Jönköping County	9658	452.42km 2 (174.68sqmi)	22.84
0642	Mullsjö Municipality	Jönköping County	7086	212.35km 2 (81.99sqmi)	35.16
0643	Habo Municipality	Jönköping County	10526	463.91km 2 (179.12sqmi)	31.94
0662	Gislaved Municipality	Jönköping County	29380	1226.15km 2 (473.42sqmi)	25.70
0665	Vaggeryd Municipality	Jönköping County	12981	862.52km 2 (333.02sqmi)	15.66
0680	Jönköping Municipality	Jönköping County	125154	1935.24km 2 (747.2sqmi)	84.07
0682	Nässjö Municipality	Jönköping County	29511	993.78km 2 (383.7sqmi)	31.56
0683	Värnamo Municipality	Jönköping County	32823	1391.24km 2 (537.16sqmi)	26.84
0684	Sävsjö Municipality	Jönköping County	10883	733.00km 2 (283.01sqmi)	15.94
0685	Vetlanda Municipality	Jönköping County	26343	1608.64km 2 (621.1sqmi)	17.45
0686	Eksjö Municipality	Jönköping County	16312	877.68km 2 (338.87sqmi)	20.29
0687	Tranås Municipality	Jönköping County	18066	439.76km 2 (169.79sqmi)	44.63
0760	Uppvidinge Municipality	Kronoberg County	9347	1232.64km 2 (475.92sqmi)	7.93
0761	Lessebo Municipality	Kronoberg County	8085	458.54km 2 (177.04sqmi)	19.49
0763	Tingsryd Municipality	Kronoberg County	12502	1213.02km 2 (468.35sqmi)	11.91
0764	Alvesta Municipality	Kronoberg County	18775	1076.56km 2 (415.66sqmi)	19.21
0765	Älmhult Municipality	Kronoberg County	15411	983.28km 2 (379.65sqmi)	17.21
