Pick #	MLS team	Player	Position	Affiliation
26	Chicago Fire	Steve Totten	M	University of Virginia
27	Los Angeles Galaxy	Alejandro Moreno	F	UNC-Greensboro
28	Colorado Rapids	Bryn Ritchie	D	University of Washington
29	Colorado Rapids	Daniel Alvarez	M	Furman University
30	MetroStars	Sam Forko	D	University of Connecticut
31	D.C. United	Mohammed Fahim	F	Southern Methodist University
32	Kansas City Wizards	O'Neil Peart	F	Long Island Rough Riders ( A-League )
33	San Jose Earthquakes	Chris Roner	M	University of California, Berkeley
34	Colorado Rapids	Matt Moses	M	Stanford University
35	Columbus Crew	John Barry Nusum	F	Furman University
36	Chicago Fire	Dipsy Selolwane	F	St. Louis University
37	Kansas City Wizards	Chris Brunt	D	Southwest Missouri State
38	Los Angeles Galaxy	Cory Gibbs	D	Brown University
39	San Jose Earthquakes	Kevin Sakuda	D	Duke University
