NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
3310	Spiral galaxy	Ursa Major	10h38m45.9s	°30′12″
3311	Elliptical galaxy	Hydra	10h36m43.3s	°31′41″
3312	Spiral galaxy	Hydra	10h37m02.3s	°33′54″
3314	Spiral galaxy occulted by another spiral galaxy	Hydra	10h37m12.8s	°41′04″
3344	Spiral galaxy	Leo Minor	10h43m31.1s	°55′20″
3351	Spiral galaxy	Leo	10h43m57.7s	°42′13″
3359	Spiral galaxy	Ursa Major	10h46m36.6s	°13′25″
3368	Spiral galaxy	Leo	10h46m45.8s	°49′10″
3369	Lenticular galaxy	Hydra	10h46m44.9s	°14′34″
3370	Spiral galaxy	Leo	10h47m04.2s	°16′23″
3371	Lenticular galaxy	Leo	10h48m16.9s	°37′43″
3372	Diffuse nebula	Carina	10h44m19.0s	°53′21″
3379	Elliptical galaxy	Leo	10h47m49.8s	°34′55″
3384	Lenticular galaxy	Leo	10h48m16.9s	°37′43″
