Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Matra - Ford	90	2:46:11.2	5
Jean-Pierre Beltoise	Matra	90	+ 1:33.93	16
Pedro Rodríguez	BRM	89	+ 1 Lap	11
Jacky Ickx	Ferrari	88	+ 2 Laps	6
Silvio Moser	Brabham - Repco	87	+ 3 Laps	17
Chris Amon	Ferrari	85	+ 5 Laps	1
Richard Attwood	BRM	85	+ 5 Laps	15
Jo Bonnier	McLaren - BRM	82	+ 8 Laps	19
Graham Hill	Lotus - Ford	81	Accident	3
Jackie Oliver	Lotus - Ford	80	Not Classified	10
Dan Gurney	Brabham - Repco	63	Throttle	12
Jo Siffert	Lotus - Ford	55	Gearbox	13
John Surtees	Honda	50	Alternator	9
Piers Courage	BRM	50	Spun Off	14
Jochen Rindt	Brabham - Repco	39	Ignition	2
Jack Brabham	Brabham - Repco	22	Spun Off	4
Bruce McLaren	McLaren - Ford	19	Accident	8
Denny Hulme	McLaren - Ford	10	Ignition	7
Lucien Bianchi	Cooper - BRM	9	Accident	18
