Track	Title	Translation	Composer	Recorded
1	"À deux"	In two	Jacques Brel	1953-08
2	"Dites, si c'était vrai (poème)"	Say, if that were true (poem)	Jacques Brel	1953-08
3	"Les gens"	The people	Jacques Brel	1953-08
4	"La haine"	The hate	Jacques Brel	1953-08
5	"Départs"	Departures	Jacques Brel	1953-08
6	"Le diable 'Ça va'"	The devil 'It's going'	Jacques Brel	1953-08
7	"Qu'avons-nous fait, bonnes gens"	What have we done, good people	Jacques Brel	1953-08
8	"L'ange déchu"	The fallen angel	Jacques Brel	1953-08
9	"Les pieds dans le ruisseau"	Standing in the stream	Jacques Brel	1953-08
10	"La Bastille"	The Bastille	Jacques Brel	1953-08
11	"Ce qu'il nous faut"	What we need	Jacques Brel	1953-08
12	"L'accordéon de la vie"	The accordion of life	Jacques Brel	1953-08
13	"Je suis l'ombre des chansons"	I'm the shadow of songs	Jacques Brel	1953-08
14	"S'il te faut"	If necessary	Jacques Brel	1953-08
15	"Ballade"	Ballad	Jacques Brel	1953-08
16	"L'orage"	The storm	Jacques Brel	1953-08
17	"Les pavés"	Paving stones	Jacques Brel	1953-08
18	"Le fou du roi"	The jester	Jacques Brel	1953-08
19	"La foire"	The fair	Jacques Brel	1953-08
20	"Sur la place"	On the square	Jacques Brel	1953-08
21	"Il peut pleuvoir"	It can rain	Jacques Brel	1953-08
22	"Les deux fauteuils"	The two chairs	Jacques Brel	1953-08
23	"Les enfants du roi"	Children of the king	Jacques Brel	1953-08
24	"Le troubadour"	The troubadour	Jacques Brel	1953-08
25	"Il nous faut regarder"	We need to look	Jacques Brel	1953-08
26	"C'est comme ça"	That's how	Jacques Brel	1953-08
27	"Si tu revenais"	If you return	Jacques Brel	1953-08
28	"Le pendu"	The hangman	Jacques Brel	1962
