Date	Tournament	Location	Winner	Score	Winner's share ( $ )
Jan 10	Glen Campbell-Los Angeles Open	California	Bob Lunn (5)	274 (–10)	22,000
Jan 17	Bing Crosby National Pro-Am	California	Tom Shaw (3)	278 (–10)	27,000
Jan 24	Phoenix Open	Arizona	Miller Barber (6)	261 (–23)	25,000
Jan 31	Andy Williams-San Diego Open Invitational	California	George Archer (7)	272 (–16)	30,000
Feb 7	Hawaiian Open	Hawaii	Tom Shaw (4)	273 (–15)	40,000
Feb 14	Bob Hope Desert Classic	California	Arnold Palmer (58)	342 (–18)	28,000
Feb 22	Tucson Open Invitational	Arizona	J. C. Snead (1)	273 (–15)	22,000
Feb 28	PGA Championship	Florida	Jack Nicklaus (34)	281 (–7)	40,000
Mar 7	Doral-Eastern Open Invitational	Florida	J. C. Snead (2)	275 (–13)	30,000
Mar 14	Florida Citrus Invitational	Florida	Arnold Palmer (59)	270 (–18)	30,000
Mar 21	Greater Jacksonville Open	Florida	Gary Player (14)	281 (–7)	25,000
Mar 28	National Airlines Open Invitational	Florida	Gary Player (15)	274 (–14)	40,000
Apr 4	Greater Greensboro Open	North Carolina	Bud Allin (1)	275 (–9)	38,000
Apr 11	Masters Tournament	Georgia	Charles Coody (3)	279 (–9)	25,000
Apr 18	Monsanto Open	Florida	Gene Littler (23)	276 (–8)	30,000
Apr 25	Tournament of Champions	California	Jack Nicklaus (35)	279 (–9)	33,000
Apr 25	Tallahassee Open Invitational	Florida	Lee Trevino (6)	273 (–15)	12,000
May 2	Greater New Orleans Open Invitational	Louisiana	Frank Beard (11)	276 (–12)	25,000
May 6	Byron Nelson Golf Classic	Texas	Jack Nicklaus (36)	274 (–6)	25,000
May 16	Houston Champions International	Texas	Hubert Green (1)	280 (–4)	25,000
May 23	Colonial National Invitation	Texas	Gene Littler (24)	283 (+3)	25,000
May 30	Danny Thomas Memphis Classic	Tennessee	Lee Trevino (7)	268 (–12)	35,000
Jun 6	Atlanta Classic	Georgia	Gardner Dickinson (7)	275 (–13)	25,000
Jun 13	Kemper Open	North Carolina	Tom Weiskopf (3)	277 (–11)	30,000
Jun 21	U.S. Open	Pennsylvania	Lee Trevino (8)	280 (E)	30,000
Jun 27	Cleveland Open	Ohio	Bobby Mitchell (1)	262 (–22)	30,000
Jul 4	Canadian Open	Canada	Lee Trevino (9)	275 (–13)	30,000
Jul 10	British Open	England	Lee Trevino (10)	278 (–14)	13,200
Jul 11	Greater Milwaukee Open	Wisconsin	Dave Eichelberger (1)	270 (–14)	25,000
Jul 18	Western Open	Illinois	Bruce Crampton (9)	279 (–5)	30,000
Jul 25	Westchester Classic	New York	Arnold Palmer (60)	270 (–18)	50,000
Aug 2	National Team Championship	Pennsylvania	Jack Nicklaus (37) Arnold Palmer (61)	257 (–27)	20,000 each
Aug 8	American Golf Classic	Ohio	Jerry Heard (1)	275 (–5)	30,000
Aug 18	Massachusetts Classic	Massachusetts	Dave Stockton (5)	275 (–13)	33,000
Aug 22	IVB-Philadelphia Golf Classic	Pennsylvania	Tom Weiskopf (4)	274 (–14)	30,000
Aug 29	Liggett & Myers Open Match Play Championship	North Carolina	DeWitt Weaver (1)	71 to 77	35,000
Sep 6	Greater Hartford Open Invitational	Connecticut	George Archer (8)	268 (–16)	22,000
Sep 12	Southern Open	Georgia	Johnny Miller (1)	267 (–13)	20,000
Sep 26	Robinson Open Golf Classic	Illinois	Labron Harris, Jr. (1)	274 (–10)	20,000
Oct 24	Kaiser International Open Invitational	California	Billy Casper (48)	269 (–19)	30,000
Oct 31	Sahara Invitational	Nevada	Lee Trevino (11)	280 (–8)	27,000
Nov 28	Sea Pines Heritage Classic	South Carolina	Hale Irwin (1)	279 (–5)	22,000
Dec 6	Walt Disney World Open Invitational	Florida	Jack Nicklaus (38)	273 (–15)	30,000
Dec 12	Bahamas National Open	Bahamas	Bob Goalby (11)	275 (–9)	26,000
