No. in set	No. in series	Title	Directed by	Written by	Original air date	Production code
1	174	" Per Manum "	Kim Manners	Chris Carter & Frank Spotnitz	February18,2001	8ABX13
2	175	" This is Not Happening "	Kim Manners	Chris Carter & Frank Spotnitz	February25,2001	8ABX14
3	176	" Deadalive "	Tony Wharmby	Chris Carter & Frank Spotnitz	April1,2001	8ABX15
4	177	" Three Words "	Tony Wharmby	Chris Carter & Frank Spotnitz	April8,2001	8ABX16
5	179	" Vienen "	Rod Hardy	Steven Maeda	April29,2001	8ABX18
6	181	" Essence "	Kim Manners	Chris Carter	May13,2001	8ABX20
7	182	" Existence "	Kim Manners	Chris Carter	May20,2001	8ABX21
8	183	" Nothing Important Happened Today "	Kim Manners	Chris Carter & Frank Spotnitz	November11,2001	9ABX01
9	184	" Nothing Important Happened Today II "	Tony Wharmby	Chris Carter & Frank Spotnitz	November18,2001	9ABX02
10	188	" Trust No 1 "	Tony Wharmby	Chris Carter & Frank Spotnitz	January6,2002	9ABX06
11	191	" Provenance "	Kim Manners	Chris Carter & Frank Spotnitz	March3,2002	9ABX09
12	192	" Providence "	Chris Carter	Chris Carter & Frank Spotnitz	March10,2002	9ABX10
