Driver	Entrant	Constructor	Chassis	Engine	Tyre
Luigi Villoresi	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s	P
Alberto Ascari	Scuderia Ferrari	Ferrari	Ferrari 275	Ferrari V12	P
Raymond Sommer	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Nino Farina	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Juan Manuel Fangio	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Luigi Fagioli	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Louis Rosier	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Philippe Étancelin	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Yves Giraud-Cabantous	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Eugène Chaboud	Ecurie Lutetia	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Pierre Levegh	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Johnny Claes	Ecurie Belge	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Geoffrey Crossley	Private	Alta	Alta GP	Alta L4s	D
Toni Branca	Private	Maserati	Maserati 4CL	Maserati L4s	P
