Year	Film/Video	Visual Arts	Theatre	Dance	Music
1995	Leslie Thornton	Mel Chin	Reza Abdoh	Ann Carlson	James Carter
1996	Su Friedrich	Carrie Mae Weems	Suzan-Lori Parks	David Rousseve	Anne LeBaron
1997	Craig Baldwin	Kerry James Marshall	Lisa Kron	Victoria Marks	Chen Yi
1998	Jeanne C. Finley	Roni Horn	Danny Hoch	Joanna Haigood	Pamela Z
1999	Lourdes Portillo	Pepon Osorio	Brian Freeman	Ralph Lemon	George Lewis
2000	Peggy Ahwesh	Shirin Neshat	W. David Hancock	Mark Dendy	Steve Coleman
2001	Ellen Bruno	Cai Guo-Qiang	Erik Ehn	John Kelly	Zhou Long
2002	®TM	Christian Marclay	David Greenspan	Lisa Nelson	Laetitia Sonami
2003	Coco Fusco	Catherine Opie	Carl Hancock Rux	Rennie Harris	Vijay Iyer
2004	Renee Tajima-Peña	Catherine Sullivan	Dan Hurlin	Stephan Koplowitz	Miya Masaoka
2005	Jem Cohen	Harrell Fletcher	Naomi Iizuka	Donna Uchizono	David Dunn
2006	Bill Morrison	Jim Hodges	Daniel Alexander Jones	Sarah Michelson	Lawrence D. Morris
2007	Jacqueline Goss	Walid Raad	Cynthia Hopkins	Jeanine Durning	Mark Feldman
2008	Bruce McClure	Bryon Kim	Lisa D'Amour	Pat Graney	Derek Bermel
2009	Paul Chan	Paul Pfeiffer	Rinde Eckert	Reggie Wilson	John King
2010	Jim Trainor	Rachel Harrison	Bill Talen	Susan Rethorst	Lukas Ligeti
2011	Natalia Almada	Emily Jacir	Marc Bamuthi Joseph	Jess Curtis	Nicole Mitchell
2012	Kevin Everson	Michael Smith	Eisa Davis	Nora Chipaumire	Myra Melford
2013	Lucien Castaing-Taylor	Sharon Hayes	Pavol Liska & Kelly Copper	Julia Rhoads	Alex Mincek
