Tie no	Home team	Score	Away team	Date
1	Bristol City	6–2	Derby County	5 January 1980
2	Burnley	1–0	Stoke City	5 January 1980
3	Liverpool	5–0	Grimsby Town	5 January 1980
4	Preston North End	0–3	Ipswich Town	5 January 1980
5	Rochdale	1–1	Bury	8 January 1980
Replay	Bury	3–2	Rochdale	21 January 1980
6	Yeovil Town	0–3	Norwich City	5 January 1980
7	Reading	2–0	Colchester United	5 January 1980
8	Leicester City	1–1	Harlow Town	5 January 1980
Replay	Harlow Town	1–0	Leicester City	8 January 1980
9	Notts County	1–3	Wolverhampton Wanderers	5 January 1980
10	Blackburn Rovers	1–1	Fulham	8 January 1980
Replay	Fulham	0–1	Blackburn Rovers	15 January 1980
11	West Bromwich Albion	1–1	West Ham United	5 January 1980
Replay	West Ham United	2–1	West Bromwich Albion	8 January 1980
12	Sunderland	0–1	Bolton Wanderers	5 January 1980
13	Luton Town	0–2	Swindon Town	5 January 1980
14	Everton	4–1	Aldershot	5 January 1980
15	Wrexham	6–0	Charlton Athletic	5 January 1980
16	Newcastle United	0–2	Chester	5 January 1980
17	Tottenham Hotspur	1–1	Manchester United	5 January 1980
Replay	Manchester United	0–1	Tottenham Hotspur	9 January 1980
18	Queens Park Rangers	1–2	Watford	5 January 1980
19	Bristol Rovers	1–2	Aston Villa	4 January 1980
20	Portsmouth	1–1	Middlesbrough	9 January 1980
Replay	Middlesbrough	3–0	Portsmouth	14 January 1980
21	Millwall	5–1	Shrewsbury Town	5 January 1980
22	Carlisle United	3–2	Bradford City	5 January 1980
23	Oldham Athletic	0–1	Coventry City	5 January 1980
24	Chelsea	0–1	Wigan Athletic	14 January 1980
25	Altrincham	1–1	Orient	5 January 1980
Replay	Orient	2–1	Altrincham	9 January 1980
26	Mansfield Town	0–2	Brighton & Hove Albion	5 January 1980
27	Cardiff City	0–0	Arsenal	5 January 1980
Replay	Arsenal	2–1	Cardiff City	8 January 1980
28	Halifax Town	1–0	Manchester City	5 January 1980
29	Chesham United	0–2	Cambridge United	5 January 1980
30	Leeds United	1–4	Nottingham Forest	5 January 1980
31	Birmingham City	2–1	Southampton	5 January 1980
32	Swansea City	2–2	Crystal Palace	5 January 1980
Replay	Crystal Palace	3–3	Swansea City	8 January 1980
Replay	Swansea City	2–1	Crystal Palace	14 January 1980
