Elector	Nationality	Cardinalatial order and title	Elevated	Elevator
Ordonho Alvares	Portuguese	Cardinal-bishop of Frascati	1278, March 12	Nicholas III
Latino Malabranca Orsini , O.P.	Rome	Cardinal-bishop of Ostia e Velletri	1278, March 12	Nicholas III
Bentivenga da Bentivengi , O.F.M.	Acquasparta	Cardinal-bishop of Albano	1278, March 12	Nicholas III
Anchero Pantaléone	French	Cardinal-priest of S. Prassede	1262, May 22	Urban IV
Simon de Brion	French	Cardinal-priest of S. Cecilia	1261, December 17	Urban IV
Guillaume de Bray	French	Cardinal-priest of S. Marco	1262, May 22	Urban IV
Gerardo Bianchi	Parma	Cardinal-priest of Ss. XII Apostoli	1278, March 12	Nicholas III
Girolamo Masci , O.F.M.	Lisciano	Cardinal-priest of S. Pudenziana	1278, March 12	Nicholas III
Giacomo Savelli	Rome	Cardinal-deacon of S. Maria in Cosmedin	1261, December 17	Urban IV
Goffredo da Alatri	Alatri	Cardinal-deacon of S. Giorgio in Velabro	1261, December 17	Urban IV
Matteo Orsini	Rome	Cardinal-deacon of S. Maria in Portico	1262, May 22	Urban IV
Giordano Orsini	Rome	Cardinal-deacon of S. Eustachio	1278, March 12	Nicholas III
Giacomo Colonna	Rome	Cardinal-deacon of S. Maria in Via Lata	1278, March 12	Nicholas III
