Outcome	Year	Championship	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1961	Wimbledon	Grass	Bob Hewitt	Roy Emerson Neale Fraser	4–6, 8–6, 4–6, 8–6, 6–8
Runner-up	1962	Australian Championships	Grass	Bob Hewitt	Roy Emerson Neale Fraser	6–4, 6–4, 1–6, 4–6, 9–11
Winner	1962	Wimbledon	Grass	Bob Hewitt	Boro Jovanović Nikola Pilić	6–2, 5–7, 6–2, 6–4
Winner	1963	Australian Championships	Grass	Bob Hewitt	Ken Fletcher John Newcombe	6–2, 3–6, 6–3, 3–6, 6–3
Winner	1964	Australian Championships	Grass	Bob Hewitt	Roy Emerson Ken Fletcher	6–4, 7–5, 3–6, 4–6, 14–12
Winner	1964	Wimbledon	Grass	Bob Hewitt	Roy Emerson Ken Fletcher	7–5, 11–9, 6–4
Runner-up	1965	Australian Championships	Grass	Roy Emerson	John Newcombe Tony Roche	6–3, 6–4, 11–13, 3–6, 4–6
Winner	1965	French Championships	Clay	Roy Emerson	Ken Fletcher Bob Hewitt	6–8, 6–3, 8–6, 6–2
Winner	1965	US Championships	Grass	Roy Emerson	Frank Froehling Charles Pasarell	6–4, 10–12, 7–5, 6–3
Winner	1966	Australian Championships	Grass	Roy Emerson	John Newcombe Tony Roche	7–9, 6–3, 6–8, 14–12, 12–10
Winner	1966	US Championships	Grass	Roy Emerson	Clark Graebner Dennis Ralston	6–4, 6–4, 6–4
Winner	1968	French Open	Clay	Ken Rosewall	Roy Emerson Rod Laver	6–3, 6–4, 6–3
Runner-up	1968	Wimbledon	Grass	Ken Rosewall	John Newcombe Tony Roche	6–3, 6–8, 7–5, 12–14, 3–6
Runner-up	1969	Australian Open	Grass	Ken Rosewall	Rod Laver Roy Emerson	4–6, 4–6
Winner	1969	US Open	Grass	Ken Rosewall	Charles Pasarell Dennis Ralston	2–6, 7–5, 13–11, 6–3
