Date	Series	Circuit	City / State	Winner	Team
30 Jan	Winfield Triple Challenge	Eastern Creek Raceway	Sydney , New South Wales	Glenn Seton	Glenn Seton Racing
27 Feb	ATCC Round 1	Amaroo Park	Sydney , New South Wales	Mark Skaife	Gibson Motor Sport
6 Mar	ATCC Round 2	Sandown International Raceway	Melbourne , Victoria	Mark Skaife	Gibson Motor Sport
13 Mar	ATCC Round 3	Symmons Plains Raceway	Launceston , Tasmania	Mark Skaife	Gibson Motor Sport
19 - 20 Mar	Courier Mail Gold Coast 100	Surfers Paradise street circuit	Surfers Paradise , Queensland	John Bowe	Dick Johnson Racing
10 Apr	ATCC Round 4	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Glenn Seton	Glenn Seton Racing
17 Apr	AMC Round 1	Eastern Creek Raceway	Sydney , New South Wales	Tony Longhurst	Logamo Racing
24 Apr	ATCC Round 5	Lakeside International Raceway	Brisbane , Queensland	Larry Perkins	Castrol Perkins Racing
15 May	ATCC Round 6	Winton Motor Raceway	Benalla , Victoria	Glenn Seton	Glenn Seton Racing
22 May	AMC Round 2	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Paul Morris	Logamo Racing
5 Jun	ATCC Round 7	Eastern Creek Raceway	Sydney , New South Wales	Peter Brock	Holden Racing Team
19 Jun	AMC Round 3	Winton Motor Raceway	Benalla , Victoria	Paul Morris	Logamo Racing
26 Jun	ATCC Round 8	Mallala Motor Sport Park	Adelaide , South Australia	Mark Skaife	Gibson Motor Sport
3 Jul	ATCC Round 9	Barbagallo Raceway	Perth , Western Australia	Alan Jones	Glenn Seton Racing
17 Jul	AMC Round 4	Lakeside International Raceway	Brisbane , Queensland	Tony Longhurst	Logamo Racing
24 Jul	ATCC Round 10	Oran Park Raceway	Sydney , New South Wales	Glenn Seton	Glenn Seton Racing
7 Aug	AMC Round 5	Mallala Motor Sport Park	Adelaide , South Australia	Tony Longhurst	Logamo Racing
28 Aug	AMC Round 6	Oran Park Raceway	Sydney , New South Wales	Paul Morris	Logamo Racing
4 Sep	Sandown 500	Sandown International Raceway	Melbourne , Victoria	Dick Johnson John Bowe	Dick Johnson Racing
2 Oct	Tooheys 1000	Mount Panorama Circuit	Bathurst , New South Wales	Dick Johnson John Bowe	Dick Johnson Racing
12 - 13 Nov	Sensational Adelaide Touring Cars	Adelaide Street Circuit	Adelaide , South Australia	John Bowe	Dick Johnson Racing
