Outcome	Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
Runner-up	April 26, 1999	Bol , Croatia	Clay	Andreea Vanc	Jelena Kostanić Michaela Paštikov	7–5, 6–7(1), 6–2
Runner-up	May 16, 1999	Antwerp , Belgium	Clay	Louise Pleming	Laura Golarsa Katarina Srebotnik	6–4, 6–2
Runner-up	October 22, 2000	Shanghai , Cina	Hard (i)	Rita Grande	Tamarine Tanasugarn Lilia Osterloh	7–5, 6–1
Winner	November 5, 2000	Quebec City , Canada	Hard (i)	Nicole Pratt	Kimberly Po-Messerli Els Callens	6–3, 6–4
Runner-up	January 7, 2001	Gold Coast , Australia	Hard	Katie Schlukebir	Giulia Casoni Janette Husárová	7–6, 7–5
Runner-up	March 4, 2001	Scottsdale , United States	Hard	Kim Clijsters	Lisa Raymond Rennae Stubbs	w/o
Winner	May 13, 2001	Berlin , Germany	Clay	Els Callens	Cara Black Elena Likhovtseva	6–4, 6–3
Runner-up	October 14, 2001	Filderstadt , Germany	Hard (i)	Justine Henin	Lindsay Davenport Lisa Raymond	6–4, 6–7(4), 7–5
Winner	December 31, 2001	Gold Coast , Australia	Hard	Justine Henin	Åsa Svensson Miriam Oremans	6–1, 7–6(6)
Runner-up	October 13, 2002	Filderstadt , Germany	Hard (i)	Paola Suárez	Lindsay Davenport Lisa Raymond	6–2, 6–4
Winner	September 29, 2003	Moscow , Russia	Carpet (i)	Nadia Petrova	Anastasia Myskina Vera Zvonareva	6–3, 6–4
Runner-up	January 12, 2004	Sydney , Australia	Hard	Dinara Safina	Cara Black Rennae Stubbs	7–5, 3–6, 6–4
Winner	March 22, 2004	Key Biscayne , United States	Hard	Nadia Petrova	Svetlana Kuznetsova Elena Likhovtseva	6–2, 6–3
Winner	April 5, 2004	Amelia Island , United States	Clay	Nadia Petrova	Myriam Casanova Alicia Molik	3–6, 6–2, 7–5
Winner	May 3, 2004	Berlin , Germany	Clay	Nadia Petrova	Janette Husárová Conchita Martínez	6–2, 2–6, 6–1
Winner	May 10, 2004	Rome , Italy	Clay	Nadia Petrova	Paola Suárez Virginia Ruano Pascual	2–6, 6–3, 6–3
Winner	July 19, 2004	Los Angeles , United States	Hard	Nadia Petrova	Conchita Martínez Virginia Ruano Pascual	6–7(2), 6–4, 6–3
Winner	August 23, 2004	New Haven , United States	Hard	Nadia Petrova	Martina Navrátilová Lisa Raymond	6–1, 1–6, 7–6(4)
Winner	November 8, 2004	Los Angeles , United States	Hard	Nadia Petrova	Cara Black Rennae Stubbs	7–5, 6–2
Runner-up	March 19, 2005	Indian Wells , United States	Hard	Nadia Petrova	Virginia Ruano Pascual Paola Suárez	7–6(3), 6–1
Winner	September 13, 2005	Bali , Indonesia	Hard	Anna-Lena Grönefeld	Yan Zi Zheng Jie	6–3, 6–3
Winner	January 7, 2006	Gold Coast , Australia	Hard	Dinara Safina	Cara Black Rennae Stubbs	6–2, 6–3
Winner	March 5, 2006	Acapulco , Mexico	Clay	Anna-Lena Grönefeld	Shinobu Asagoe Émilie Loit	6–1, 6–3
Runner-up	March 18, 2006	Indian Wells , United States	Hard	Virginia Ruano Pascual	Lisa Raymond Samantha Stosur	6–2, 7–5
Runner-up	April 16, 2006	Charleston , United States	Hard	Virginia Ruano Pascual	Lisa Raymond Samantha Stosur	3–6, 6–1, 6–1
Runner-up	July 31, 2006	San Diego , United States	Hard	Anna-Lena Grönefeld	Cara Black Rennae Stubbs	6–2, 6–2
Winner	January 8, 2007	Sydney , Australia	Hard	Anna-Lena Grönefeld	Marion Bartoli Meilen Tu	6–3, 3–6, 7–6(2)
Runner-up	February 21, 2010	Memphis , United States	Hard (i)	Bethanie Mattek-Sands	Michaëlla Krajicek Vania King	7–5, 6–2
Winner	May 17, 2010	Warsaw , Poland	Clay	Virginia Ruano Pascual	Cara Black Yan Zi	6–3, 6–4
Runner-up	August 28, 2010	New Haven , United States	Hard	Bethanie Mattek-Sands	Květa Peschke Katarina Srebotnik	7–5, 6–0
Winner	February 7, 2011	Paris , France	Hard (i)	Bethanie Mattek-Sands	Vera Dushevina Ekaterina Makarova	6–4, 6–2
Runner-up	March 19, 2011	Indian Wells , United States	Hard	Bethanie Mattek-Sands	Elena Vesnina Sania Mirza	6–0, 7–5
Runner-up	April 10, 2011	Charleston , United States	Clay	Bethanie Mattek-Sands	Sania Mirza Elena Vesnina	6–4, 6–4
