Position	Appearances	Goals	First appearance	Last appearance
GK	1	0	1990	1990
FW	12	4	1954	1959
FW	3	2	1963	1966
DF	9	1	1983	1985
FW	1	0	1980	1980
FW	2	2	1963	1964
FW	1	0	1959	1959
DF	3	0	1954	1954
DF	17	0	1979	1984
FW	2	0	1956	1956
GK	1	0	1984	1984
FW	1	0	1961	1961
MF	9	0	1981	1985
MF	1	0	1961	1961
GK	19	0	1966	1974
DF	4	0	1990	1990
MF	2	0	1989	1990
FW	1	0	1982	1982
GK	3	0	1989	1990
DF	72	3	1967	1976
DF	4	0	1979	1980
DF	3	0	1990	1990
GK	2	0	1954	1957
DF	6	0	1954	1957
FW	3	1	1983	1983
DF	1	0	1972	1972
GK	94	0	1967	1981
DF	3	0	1974	1974
DF	1	0	1983	1983
DF	2	0	1969	1969
MF	100	9	1969	1985
DF	40	2	1982	1988
MF	29	7	1986	1990
DF	2	0	1958	1958
FW	2	0	1961	1962
FW	66	15	1960	1975
FW	37	5	1958	1967
MF	6	3	1978	1979
DF	8	0	1952	1956
FW	3	1	1966	1966
MF	47	12	1959	1968
FW	56	20	1981	1990
DF	1	0	1963	1963
MF	4	0	1958	1960
FW	33	4	1963	1970
DF	5	0	1958	1959
FW	2	0	1953	1954
FW	5	2	1956	1960
FW	1	0	1957	1957
FW	56	19	1961	1974
DF	14	0	1973	1977
GK	8	0	1962	1964
FW	2	0	1955	1955
FW	2	0	1952	1952
DF	13	0	1969	1973
DF	15	1	1965	1967
FW	9	1	1984	1986
GK	21	0	1975	1981
DF	8	0	1976	1979
GK	1	0	1958	1958
FW	3	2	1984	1989
MF	1	0	1953	1953
MF	58	5	1971	1984
MF	4	1	1984	1989
MF	3	0	1969	1974
MF	4	0	1989	1990
DF	9	1	1978	1982
FW	12	2	1975	1978
MF	1	0	1990	1990
DF	29	2	1958	1964
GK	7	0	1963	1965
DF	1	0	1962	1962
DF	7	0	1989	1990
FW	17	4	1980	1985
GK	9	0	1979	1990
FW	66	16	1973	1981
FW	6	0	1961	1968
MF	1	0	1954	1954
MF	1	0	1957	1957
FW	1	0	1953	1953
MF	41	4	1966	1974
GK	1	0	1957	1957
MF	1	0	1986	1986
FW	3	1	1982	1982
MF	31	1	1955	1964
FW	1	0	1954	1954
DF	7	0	1960	1961
FW	49	14	1985	1990
DF	63	0	1971	1980
GK	3	0	1952	1953
FW	4	5	1963	1964
FW	6	1	1958	1961
DF	2	0	1989	1989
MF	33	4	1962	1969
FW	1	1	1959	1959
DF	1	0	1984	1984
FW	21	3	1976	1980
DF	2	0	1988	1990
DF	28	0	1959	1965
MF	4	2	1981	1985
